student,course,Interaction,hintCount,TotalTime,TotalPSTime,TotalWETime,avgstepTime,avgstepTimeWE,avgstepTimePS,stepTimeDeviation,UseCount,PrepCount,MorphCount,OptionalCount,InterfaceErrorCount,RightApp,WrongApp,WrongSemanticsApp,WrongSyntaxApp,PrightAppRatio,RrightAppRatio,F1Score,FDActionCount,BDActionCount,DirectProofActionCount,InDirectProofActionCount,actionCount,UseWindowInfo,NonPSelements,AppCount,AppRatio,hintRatio,BlankRatio,HoverHintCount,NextStepClickCountWE,PreviousStepClickCountWE,deletedApp
bwhooks,CSC226-001-BITZER-F15,1296,57,4089.607926,3840.070926,249.537,3.086496548,4.229440678,3.033231379,8.357045943,60,56,117,9,286,166,76,50,26,0.178111588,1.537037037,0.319230769,1039,0,985,54,1039,0,107,932,0.897016362,0.054860443,0.102983638,193,38,2,8
mmahmed3,CSC226-002-BARNES-F15,754,0,4450.853926,3882.515926,568.338,5.052047589,1.946363014,6.591707854,19.87355,51,47,41,4,231,93,50,38,12,0.189409369,0.861111111,0.310517529,650,0,650,0,650,6,159,491,0.755384615,0,0.244615385,64,149,2,20
twalff,CSC226-001-BITZER-F15,709,1,7604.069852,6877.349852,726.72,10.37390157,9.6896,10.45189947,23.02228024,46,45,67,19,117,124,53,46,7,0.228782288,1.148148148,0.381538462,616,0,484,132,616,0,74,542,0.87987013,0.001623377,0.12012987,5,51,0,13
clredmon,CSC226-002-BARNES-F15,3858,183,21192.66119,21035.97919,156.682,5.425668506,1.843317647,5.50535964,20.984682,336,185,279,35,860,368,471,252,219,0.142525174,0.426419467,0.213642961,3032,14,2548,498,3046,2,464,2582,0.847669074,0.060078792,0.152330926,454,56,6,74
jadrum,CSC226-001-BITZER-F15,1644,108,12488.07063,11963.76263,524.308,7.460018298,8.886576271,7.407902557,21.92198148,85,58,75,7,311,155,70,48,22,0.132027257,1.435185185,0.241809672,1340,23,1097,266,1363,4,189,1174,0.86133529,0.079236977,0.13866471,475,44,0,10
sccantey,CSC226-002-BARNES-F15,702,1,4839.977,4649.324,190.653,6.657464924,3.17755,6.97050075,12.59436232,45,45,30,19,145,106,33,23,10,0.198874296,0.981481481,0.330733229,573,9,582,0,582,0,49,533,0.91580756,0.001718213,0.08419244,90,43,0,12
jchen25,CSC226-001-BITZER-F15,1020,1,6493.702852,6175.785852,317.917,6.202199477,5.211754098,6.263474495,17.61641275,92,77,69,12,203,134,116,75,41,0.169620253,1.240740741,0.29844098,844,0,517,327,844,0,54,790,0.936018957,0.001184834,0.063981043,9,35,1,10
xma5,CSC226-001-BITZER-F15,590,5,3459.832926,3384.673926,75.159,5.625744595,1.273881356,6.087543032,16.46167904,53,43,36,14,148,81,65,41,24,0.193779904,0.75,0.307984791,467,0,467,0,467,0,49,418,0.895074946,0.010706638,0.104925054,0,42,0,9
zhuang4,CSC226-002-BARNES-F15,1396,39,11414.26593,10197.40193,1216.864,8.015636184,11.93003922,7.713617191,21.79592725,112,66,132,37,303,116,231,91,140,0.114511352,1.008695652,0.205673759,1104,17,1121,0,1121,8,108,1013,0.903657449,0.034790366,0.096342551,99,45,2,16
cwtait,CSC226-002-BARNES-F15,894,4,4566.180852,4422.556852,143.624,4.957851088,2.816156863,5.083398681,15.6644217,65,59,25,14,238,124,39,26,13,0.196825397,1.148148148,0.33604336,682,1,440,243,683,0,53,630,0.922401171,0.005856515,0.077598829,110,37,0,20
