"student","problem.ward","problem.average","problem.median","problem.complete"
"abalaji",2,1,1,1
"acallred",1,1,1,1
"acray2",1,1,1,1
"adtalask",1,1,1,1
"agamin",1,1,1,1
"agescoba",2,1,1,1
"ahnorris",1,1,1,1
"ajcastel",2,1,1,2
"ajhiller",3,1,1,2
"ajlong4",1,1,1,1
"ajschofi",1,1,1,1
"ajshryoc",1,1,1,1
"ajsmit11",1,1,1,1
"allee5",2,1,1,1
"ancook2",1,1,1,1
"anmcgill",2,1,1,1
"arfranc2",1,1,1,1
"atvohwin",2,1,1,1
"awpoppo",2,1,1,1
"bgwebb",1,1,1,1
"blamdar3",3,1,1,2
"blstone",1,1,1,1
"bpatel6",1,1,1,1
"bprishe",3,1,1,2
"brteuton",2,1,1,1
"bshapir",2,1,1,1
"btnguye3",3,1,1,2
"bwhooks",1,1,1,1
"cawalke7",1,1,1,1
"cdtripp",1,1,1,1
"cgscarbo",2,1,1,1
"chood2",1,1,1,1
"cjchris3",1,1,1,1
"cjlach",1,1,1,1
"cjvalent",1,1,1,1
"clredmon",3,2,2,2
"csdennis",1,1,1,1
"cwtait",2,1,1,1
"dfcawley",1,1,1,1
"drthomp4",1,1,1,1
"dsdiaz",1,1,1,1
"ejmunoz",1,1,1,1
"eli4",1,1,1,1
"ereinst",1,1,1,1
"ervaugha",1,1,1,2
"gbedwar2",1,1,1,1
"gespino",2,1,1,1
"ghbowers",2,1,1,2
"gpuzo",1,1,1,1
"gsflinch",2,1,1,1
"gwaugsbu",1,1,1,1
"hawilson",1,1,1,1
"hli30",2,1,1,1
"hrking",1,1,1,1
"htslaugh",1,1,1,1
"jabeichl",1,1,1,1
"jadrum",1,1,1,1
"jagonza9",2,1,1,1
"jahutche",1,1,1,1
"jamazzol",2,1,1,1
"jchen25",1,1,1,1
"jdmill11",1,1,1,1
"jdpunch",2,1,1,1
"jdwatso5",1,1,1,1
"jeglas",3,5,5,5
"jepriddy",1,1,1,1
"jetubito",1,1,1,1
"jhiltz",2,1,1,1
"jhooper",1,1,1,1
"jkburney",1,1,1,1
"jlchavez",1,1,1,1
"jmdiaz4",2,1,1,1
"jmreesjo",1,1,1,1
"jnpoulos",1,1,1,1
"jpsarle",1,1,1,1
"jsmorga3",1,1,1,1
"jtcasper",1,1,1,1
"jteasow",1,1,1,1
"jtsajor",1,1,1,1
"jwstanl3",2,1,1,1
"jwu7",2,1,1,1
"kdbeall",1,1,1,1
"kekeller",1,1,1,1
"kgjones3",1,1,1,1
"khmarti2",1,1,1,1
"khzhang",1,1,1,1
"kmissa",1,1,1,1
"kpowell",1,1,1,1
"kwrideno",1,1,1,1
"ljacobo",3,1,1,2
"lrrumney",1,1,1,1
"magalla4",1,1,1,1
"mascaram",1,1,1,1
"mcgibson",1,1,1,1
"mehess",2,1,1,1
"mfcallis",1,1,1,1
"mjbloeme",1,1,1,1
"mjlilly",2,1,1,1
"mlalsto3",1,1,1,1
"mmahmed3",2,1,1,1
"mmmasent",2,1,1,1
"mmraviel",3,1,1,2
"nabruins",1,1,1,1
"nkblankl",5,4,4,4
"nmcgove",1,1,1,1
"nranthon",1,1,1,1
"nvakil",1,1,1,2
"nvarma",1,1,1,1
"pdcallis",1,1,1,1
"pkembur",1,1,1,1
"pkhanal",1,1,1,2
"pmryan2",2,1,1,1
"ptqualke",1,1,1,1
"pttemple",1,1,1,1
"pxu6",2,1,1,1
"qwang20",1,1,1,1
"ranewcom",1,1,1,1
"rjpatel2",1,1,1,1
"rmstrube",1,1,1,1
"rncreswe",2,1,1,2
"rnjiwas",2,1,1,1
"rpgrange",2,1,1,1
"rrichar3",1,1,1,1
"sabhalo2",1,1,1,1
"sccantey",2,1,1,1
"scmathew",1,1,1,1
"sdyoung3",1,1,1,1
"sgu",1,1,1,1
"skang7",1,1,1,1
"slee49",1,1,1,1
"smayes",1,1,1,1
"smoneta",2,1,1,1
"snturner",1,1,1,1
"spallred",1,1,1,1
"spkilgan",1,1,1,1
"spschoen",1,1,1,1
"ssyed2",1,1,1,1
"swmay",1,1,1,1
"syu10",1,1,1,1
"tcunnin",1,1,1,1
"tjeagle",1,1,1,1
"tjirons",1,1,1,2
"tjreming",1,1,1,1
"tkalexa2",2,1,1,1
"tlreger",1,1,1,1
"tnpatill",1,1,1,1
"trnielse",2,1,1,1
"twalff",2,1,1,1
"tyu2",3,1,1,2
"vtrenich",2,1,1,1
"wctoohey",2,1,1,1
"wehiggin",2,1,1,1
"xchen27",1,1,1,1
"xma5",2,1,1,1
"ychen63",2,1,1,1
"yhuang30",1,1,1,1
"yliu59",4,3,3,3
"yzhang64",1,1,1,1
"zhuang4",1,1,1,1
