"student","problem","level"
"abalaji",2,4
"acallred",4,1
"acray2",1,1
"adtalask",4,2
"agamin",4,2
"agescoba",2,1
"ahnorris",1,4
"ajcastel",2,5
"ajhiller",3,5
"ajlong4",4,3
"ajschofi",4,3
"ajshryoc",4,2
"ajsmit11",4,3
"allee5",2,4
"ancook2",4,3
"anmcgill",2,5
"arfranc2",4,3
"atvohwin",1,4
"awpoppo",4,4
"bgwebb",1,4
"blamdar3",3,2
"blstone",3,4
"bpatel6",3,5
"bprishe",1,4
"brteuton",2,1
"bshapir",2,1
"btnguye3",3,4
"bwhooks",1,1
"cawalke7",2,3
"cdtripp",1,1
"cgscarbo",2,1
"chood2",4,2
"cjchris3",4,5
"cjlach",3,3
"cjvalent",2,4
"clredmon",3,2
"csdennis",4,2
"cwtait",1,1
"dfcawley",4,3
"drthomp4",4,2
"dsdiaz",2,1
"ejmunoz",1,1
"eli4",1,2
"ereinst",4,4
"ervaugha",3,5
"gbedwar2",3,2
"gespino",2,4
"ghbowers",2,5
"gpuzo",2,2
"gsflinch",2,1
"gwaugsbu",4,3
"hawilson",3,2
"hli30",2,1
"hrking",2,5
"htslaugh",1,4
"jabeichl",4,5
"jadrum",2,1
"jagonza9",2,1
"jahutche",3,3
"jamazzol",2,1
"jchen25",1,1
"jdmill11",3,2
"jdpunch",2,1
"jdwatso5",3,3
"jeglas",3,3
"jepriddy",1,4
"jetubito",4,4
"jhiltz",2,4
"jhooper",4,5
"jkburney",2,2
"jlchavez",4,4
"jmdiaz4",2,1
"jmreesjo",4,3
"jnpoulos",4,2
"jpsarle",4,2
"jsmorga3",1,2
"jtcasper",1,4
"jteasow",1,1
"jtsajor",1,5
"jwstanl3",2,1
"jwu7",2,5
"kdbeall",3,5
"kekeller",4,4
"kgjones3",1,1
"khmarti2",4,5
"khzhang",4,3
"kmissa",1,1
"kpowell",1,3
"kwrideno",2,1
"ljacobo",3,2
"lrrumney",1,3
"magalla4",4,3
"mascaram",2,1
"mcgibson",2,1
"mehess",2,1
"mfcallis",4,3
"mjbloeme",3,2
"mjlilly",1,1
"mlalsto3",3,4
"mmahmed3",2,1
"mmmasent",2,1
"mmraviel",3,3
"nabruins",1,2
"nkblankl",5,2
"nmcgove",1,1
"nranthon",4,2
"nvakil",2,4
"nvarma",3,5
"pdcallis",4,3
"pkembur",2,2
"pkhanal",3,4
"pmryan2",3,5
"ptqualke",4,1
"pttemple",2,4
"pxu6",1,4
"qwang20",3,2
"ranewcom",2,1
"rjpatel2",1,5
"rmstrube",4,1
"rncreswe",2,5
"rnjiwas",2,5
"rpgrange",1,1
"rrichar3",1,1
"sabhalo2",4,2
"sccantey",1,1
"scmathew",1,4
"sdyoung3",1,5
"sgu",2,1
"skang7",2,1
"slee49",2,1
"smayes",4,1
"smoneta",2,1
"snturner",2,1
"spallred",3,2
"spkilgan",4,3
"spschoen",1,2
"ssyed2",4,2
"swmay",4,1
"syu10",4,3
"tcunnin",4,5
"tjeagle",1,4
"tjirons",3,2
"tjreming",1,5
"tkalexa2",2,4
"tlreger",2,1
"tnpatill",2,5
"trnielse",2,1
"twalff",2,1
"tyu2",3,2
"vtrenich",2,1
"wctoohey",1,5
"wehiggin",1,4
"xchen27",2,4
"xma5",1,1
"ychen63",1,5
"yhuang30",2,1
"yliu59",3,5
"yzhang64",1,1
"zhuang4",2,1
