"student","course","condition","level","Interaction","hintCount","TotalTime","TotalPSTime","TotalWETime","UseCount","PrepCount","MorphCount","OptionalCount","InterfaceErrorCount","RightApp","WrongApp","WrongSemanticsApp","WrongSyntaxApp","FDActionCount","BDActionCount","DirectProofActionCount","InDirectProofActionCount","actionCount","UseWindowInfo","NonPSelements","AppCount","HoverHintCount","NextStepClickCountWE","PreviousStepClickCountWE","deletedApp","avgstepTime","avgstepTimeWE","avgstepTimePS","stepTimeDeviation","PrightAppRatio","RrightAppRatio","F1Score","AppRatio","hintRatio","BlankRatio"
"kdabraha","CSC226-001-STADDON-S16","Random",1,132,1,616.382,600.014,16.368,8,11,4,0,55,8,15,15,0,80,1,81,0,81,0,16,65,21,9,0,0,4.53222058823529,1.25907692307692,4.87816260162602,9.97434820418596,0.123076923076923,0.533333333333333,0.2,0.802469135802469,0.0123456790123457,0.197530864197531
"kdabraha","CSC226-001-STADDON-S16","Random",2,1072,5,3890.962,3868.997,21.965,53,38,90,24,316,62,144,85,59,749,16,738,27,765,0,53,712,199,16,0,13,3.59459926131117,0.998409090909091,3.64843166823751,6.14443957053309,0.0870786516853933,2.06666666666667,0.16711590296496,0.930718954248366,0.0065359477124183,0.069281045751634
"kdabraha","CSC226-001-STADDON-S16","Random",3,1578,5,5570.403,5487.371,83.032,82,51,123,38,430,103,192,109,83,1144,16,1133,27,1160,0,67,1093,280,25,3,35,3.49878907721281,2.12902564102564,3.53316537966538,5.99805327051083,0.0942360475754803,2.06,0.180227471566054,0.942241379310345,0.00431034482758621,0.0577586206896552
"kdabraha","CSC226-001-STADDON-S16","Random",4,1776,5,6190.384,6102.606,87.778,95,56,142,41,475,128,207,115,92,1300,16,1289,27,1316,0,74,1242,295,32,3,39,3.4511643454039,1.82870833333333,3.49574241556955,5.90072094316603,0.103059581320451,1.88235294117647,0.195419847328244,0.943768996960486,0.00379939209726444,0.0562310030395137
"kdabraha","CSC226-001-STADDON-S16","Random",5,1867,5,6399.631,6306.2,93.431,102,58,152,41,499,142,212,117,95,1370,16,1359,27,1386,0,83,1303,303,41,3,40,3.38904656084656,1.58357627118644,3.44722392135445,5.79567538495404,0.108979278587874,1.63218390804598,0.20431654676259,0.94011544011544,0.00360750360750361,0.0598845598845599
"kdabraha","CSC226-001-STADDON-S16","Random",6,2024,5,6801.574,6705.959,95.615,111,65,165,41,559,160,223,123,100,1470,16,1459,27,1486,0,84,1402,314,42,3,41,3.3195602145295,1.54217741935484,3.37496380090498,5.65919956252168,0.114122681883024,1.50943396226415,0.212201591511936,0.943472409152086,0.00336473755047106,0.0565275908479139
"dfgebreh","CSC226-001-STADDON-S16","Random",1,297,2,2438.613,1841.706,596.907,6,5,0,0,114,9,2,2,0,195,1,187,9,196,24,124,72,31,12,2,5,7.8664935483871,12.7001489361702,7.00268441064639,12.9308491628916,0.125,0.6,0.206896551724138,0.36734693877551,0.0102040816326531,0.63265306122449
"dfgebreh","CSC226-001-STADDON-S16","Random",2,354,2,3449.207,2618.384,830.823,11,11,0,0,127,19,3,2,1,242,1,234,9,243,24,129,114,31,17,2,5,9.28289784946237,15.3856111111111,8.24658805031446,15.2658160743346,0.166666666666667,0.633333333333333,0.263888888888889,0.469135802469136,0.00823045267489712,0.530864197530864
"dfgebreh","CSC226-001-STADDON-S16","Random",3,1125,25,9388.379,7973.915,1414.464,69,144,44,5,202,65,197,52,145,942,5,933,14,947,30,179,768,51,27,3,22,8.15574826388889,17.2495609756098,7.45883925233645,14.4664027438286,0.0846354166666667,0.955882352941177,0.155502392344498,0.810982048574446,0.0263991552270327,0.189017951425554
"dfgebreh","CSC226-001-STADDON-S16","Random",4,1923,36,21484.262,19984.986,1499.276,112,172,139,24,268,150,297,105,192,1687,5,1678,14,1692,30,200,1492,117,35,3,51,10.9435290224033,14.278819047619,10.755145239376,16.7605001290026,0.100536193029491,1.74418604651163,0.190114068441065,0.881796690307329,0.0212765957446809,0.118203309692671
"dfgebreh","CSC226-001-STADDON-S16","Random",5,2160,36,24256.253,22714.421,1541.832,124,177,157,26,288,172,312,111,201,1909,5,1900,14,1914,30,211,1703,196,44,3,52,10.9963040326235,13.1780512820513,10.8741679425837,16.5028247957949,0.100998238402819,1.4453781512605,0.188803512623491,0.889759665621735,0.0188087774294671,0.110240334378265
"dfgebreh","CSC226-001-STADDON-S16","Random",6,2613,36,28918.176,27265.43,1652.746,139,198,223,35,323,217,378,142,236,2331,5,2322,14,2336,30,220,2116,293,52,3,60,10.8567151969981,13.0137480314961,10.7487785657998,15.8994902455356,0.102551984877127,1.57246376811594,0.192546583850932,0.905821917808219,0.0154109589041096,0.0941780821917808
"mcamar","CSC226-001-STADDON-S16","Random",1,176,4,1368.504,1286.397,82.107,9,15,1,4,58,12,17,9,8,121,1,122,0,122,0,14,108,0,9,0,1,7.6028,2.56584375,8.69187162162162,13.4597294080083,0.111111111111111,0.8,0.195121951219512,0.885245901639344,0.0327868852459016,0.114754098360656
"mcamar","CSC226-001-STADDON-S16","Random",2,212,4,1718.562,1558.96,159.602,11,17,2,5,66,18,17,9,8,150,1,151,0,151,0,26,125,0,21,0,1,7.85670776255708,3.32504166666667,9.12875438596491,13.1335463832995,0.144,0.6,0.232258064516129,0.827814569536424,0.0264900662251656,0.172185430463576
"mcamar","CSC226-001-STADDON-S16","Random",3,552,4,6392.245,6202.119,190.126,35,42,28,20,120,57,68,42,26,440,1,441,0,441,0,43,398,0,38,0,9,11.3426985815603,2.75544927536232,12.5397090909091,16.9552198106971,0.14321608040201,1.09615384615385,0.253333333333333,0.90249433106576,0.0090702947845805,0.0975056689342404
"mcamar","CSC226-001-STADDON-S16","Random",4,657,9,7372.339,7022.012,350.327,43,46,37,22,145,78,70,42,28,522,2,524,0,524,0,57,467,0,46,1,11,10.96426448737,4.32502469135803,11.8726739864865,16.4542858001144,0.167023554603854,1.11428571428571,0.290502793296089,0.891221374045801,0.017175572519084,0.108778625954198
"mcamar","CSC226-001-STADDON-S16","Random",5,991,9,11481.037,11113.202,367.835,55,60,101,29,202,152,93,62,31,805,2,807,0,807,0,68,739,4,55,1,25,11.3305552268245,3.99820652173913,12.0621995661605,16.615298397546,0.205683355886333,1.53535353535354,0.362768496420048,0.915737298636927,0.0111524163568773,0.0842627013630731
"mcamar","CSC226-001-STADDON-S16","Random",6,1152,9,12462.319,12082.246,380.073,62,66,121,34,247,176,107,67,40,926,2,928,0,928,0,87,841,4,56,1,26,10.5608052497883,4.00076842105263,11.1346574585635,16.0003973967918,0.209274673008323,1.26618705035971,0.359183673469388,0.90625,0.00969827586206897,0.09375
"bpgoodso","CSC226-001-STADDON-S16","Random",1,746,4,5284.169,5232.961,51.208,8,39,38,20,184,75,31,23,8,564,6,446,124,570,0,18,552,108,6,0,27,7.00818169761273,2.5604,7.12937465940055,13.513771826042,0.135869565217391,5,0.264550264550264,0.968421052631579,0.00701754385964912,0.0315789473684211
"bpgoodso","CSC226-001-STADDON-S16","Random",2,789,4,5394.456,5330.763,63.693,10,41,41,20,194,81,32,24,8,598,6,480,124,604,0,30,574,110,18,0,28,6.74562,1.76925,6.98010863874346,13.0707328577015,0.141114982578397,2.7,0.268211920529801,0.950331125827815,0.00662251655629139,0.0496688741721854
"bpgoodso","CSC226-001-STADDON-S16","Random",3,1639,8,12595.53,12511.23,84.3,35,79,132,43,398,201,89,68,21,1249,7,1131,125,1256,0,45,1211,180,27,0,37,7.60381231140616,1.7936170212766,7.77342670807453,13.6482886784173,0.16597853014038,3.86538461538462,0.318289786223278,0.964171974522293,0.00636942675159236,0.035828025477707
"bpgoodso","CSC226-001-STADDON-S16","Random",4,1920,9,14144.621,14055.871,88.75,50,88,163,56,454,251,107,78,29,1477,7,1359,125,1484,0,54,1430,203,34,0,47,7.28854428424305,1.58482142857143,7.4579019088017,13.0209218321094,0.175524475524476,3.58571428571429,0.334666666666667,0.963611859838275,0.00606469002695418,0.0363881401617251
"bpgoodso","CSC226-001-STADDON-S16","Random",5,2028,9,14496.9,14390.879,106.021,54,91,179,58,484,274,109,80,29,1558,7,1440,125,1565,0,60,1505,204,40,0,50,7.06310905550146,1.63109230769231,7.24062594268477,12.7341518512029,0.182059800664452,3.07865168539326,0.343789209535759,0.961661341853035,0.00575079872204473,0.0383386581469649
"bpgoodso","CSC226-001-STADDON-S16","Random",6,2195,9,15294.125,15185.662,108.463,61,96,200,61,528,304,115,85,30,1684,7,1566,125,1691,0,61,1630,207,41,0,55,6.87905528089888,1.59504411764706,7.04563514140009,12.5258558490424,0.186503067484663,2.81481481481481,0.349827387802071,0.963926670609107,0.00532229450029568,0.036073329390893
"mwprice","CSC226-001-STADDON-S16","Random",1,129,1,563.411,472.926,90.485,9,6,0,0,51,11,4,3,1,84,0,84,0,84,8,21,63,0,5,1,0,4.17341481481481,1.8097,5.56383529411765,9.24533403101299,0.174603174603175,0.733333333333333,0.282051282051283,0.75,0.0119047619047619,0.25
"mwprice","CSC226-001-STADDON-S16","Random",2,192,1,792.394,679.602,112.792,14,14,0,0,70,23,5,4,1,131,0,131,0,131,8,28,103,0,12,1,0,3.91297044334975,1.84904918032787,4.79958450704225,6.92752742948383,0.223300970873786,0.766666666666667,0.345864661654135,0.786259541984733,0.00763358778625954,0.213740458015267
"mwprice","CSC226-001-STADDON-S16","Random",3,272,1,1022.05,869.473,152.577,23,22,0,0,91,38,7,5,2,193,0,193,0,193,8,36,157,0,20,1,0,3.57195818815331,1.98151948051948,4.15511904761905,6.10725887418305,0.24203821656051,0.730769230769231,0.363636363636364,0.813471502590674,0.00518134715025907,0.186528497409326
"mwprice","CSC226-001-STADDON-S16","Random",4,334,1,1275.804,1111.915,163.889,27,24,0,0,115,44,7,5,2,229,3,232,0,232,8,50,182,3,34,1,0,3.64624501424501,1.72514736842105,4.35915234375,7.07107805418438,0.241758241758242,0.628571428571429,0.349206349206349,0.78448275862069,0.00431034482758621,0.21551724137931
"mwprice","CSC226-001-STADDON-S16","Random",5,696,1,2639.485,2448.504,190.981,37,30,34,12,197,77,36,12,24,516,3,519,0,519,8,63,456,76,43,1,1,3.6683758668516,1.76834259259259,4.00312887438825,6.41941251867465,0.168859649122807,0.777777777777778,0.277477477477477,0.878612716763006,0.00192678227360308,0.121387283236994
"mwprice","CSC226-001-STADDON-S16","Random",6,775,1,2929.245,2705.489,223.756,40,35,40,13,225,88,40,15,25,568,3,571,0,571,8,72,499,78,52,1,1,3.66751371571072,1.84922314049587,3.99058737151248,6.46963865972839,0.176352705410822,0.745762711864407,0.285251215559157,0.873905429071804,0.00175131348511384,0.126094570928196
