student,course,Interaction,hintCount,TotalTime,TotalPSTime,TotalWETime,avgstepTime,avgstepTimeWE,avgstepTimePS,stepTimeDeviation,englishSymbolicSwitchCount,UseCount,PrepCount,MorphCount,OptionalCount,InterfaceErrorCount,RightApp,WrongApp,WrongSemanticsApp,WrongSyntaxApp,PrightAppRatio,RrightAppRatio,F1Score,FDActionCount,BDActionCount,DirectProofActionCount,InDirectProofActionCount,actionCount,UseWindowInfo,NonPSelements,AppCount,AppRatio,hintRatio,BlankRatio,HoverHintCount,SystemInfoHintCount,NextStepClickCountWE,PreviousStepClickCountWE,deletedApp
kdabraha,CSC226-001-STADDON-S16,132,1,616.382,600.014,16.368,4.532220588,1.259076923,4.878162602,9.974348204,2,8,11,4,0,55,8,15,15,0,0.123076923,0.533333333,0.2,80,1,81,0,81,0,16,65,0.802469136,0.012345679,0.197530864,21,2,9,0,0
kdabraha,CSC226-001-STADDON-S16,940,4,3274.58,3268.983,5.597,3.465164021,0.621888889,3.492503205,5.484184773,2,45,27,86,24,261,54,129,70,59,0.083462133,3.6,0.163141994,669,15,657,27,684,0,37,647,0.945906433,0.005847953,0.054093567,178,0,7,0,13
kdabraha,CSC226-001-STADDON-S16,506,0,1679.441,1618.374,61.067,3.299491159,3.592176471,3.289378049,5.709141883,0,29,13,33,14,114,41,48,24,24,0.107611549,2.277777778,0.205513784,395,0,395,0,395,0,14,381,0.964556962,0,0.035443038,81,0,9,3,22
kdabraha,CSC226-001-STADDON-S16,198,0,619.981,615.235,4.746,3.084482587,0.527333333,3.204348958,5.153854083,0,13,5,19,3,45,25,15,6,9,0.167785235,1.388888889,0.299401198,156,0,156,0,156,0,7,149,0.955128205,0,0.044871795,15,0,7,0,4
kdabraha,CSC226-001-STADDON-S16,91,0,209.247,203.594,5.653,2.226031915,0.513909091,2.452939759,3.135333887,0,7,2,10,0,24,14,5,2,3,0.229508197,0.736842105,0.35,70,0,70,0,70,0,9,61,0.871428571,0,0.128571429,8,0,9,0,1
kdabraha,CSC226-001-STADDON-S16,157,0,401.943,399.759,2.184,2.51214375,0.728,2.546235669,3.639334429,0,9,7,13,0,60,18,11,6,5,0.181818182,0.947368421,0.305084746,100,0,100,0,100,0,1,99,0.99,0,0.01,11,0,1,0,1
dfgebreh,CSC226-001-STADDON-S16,297,2,2438.613,1841.706,596.907,7.866493548,12.70014894,7.002684411,12.93084916,2,6,5,0,0,114,9,2,2,0,0.125,0.6,0.206896552,195,1,187,9,196,24,124,72,0.367346939,0.010204082,0.632653061,31,16,12,2,5
dfgebreh,CSC226-001-STADDON-S16,57,0,1010.594,776.678,233.916,16.84323333,33.41657143,14.65430189,16.83430908,0,5,6,0,0,13,10,1,0,1,0.238095238,0.666666667,0.350877193,47,0,47,0,47,0,5,42,0.893617021,0,0.106382979,0,0,5,0,0
dfgebreh,CSC226-001-STADDON-S16,771,23,5939.172,5355.531,583.641,7.624097561,20.84432143,7.131199734,13.3364119,0,58,133,44,5,75,46,194,50,144,0.070336391,1.277777778,0.133333333,700,4,699,5,704,6,50,654,0.928977273,0.032670455,0.071022727,20,2,10,1,17
dfgebreh,CSC226-001-STADDON-S16,798,11,12095.883,12011.071,84.812,14.91477559,3.687478261,15.24247589,19.00457864,0,43,28,95,19,66,85,100,53,47,0.117403315,4.722222222,0.229110512,745,0,745,0,745,0,21,724,0.971812081,0.014765101,0.028187919,66,0,8,0,29
dfgebreh,CSC226-001-STADDON-S16,237,0,2771.991,2729.435,42.556,11.45450826,3.546333333,11.8671087,14.39422093,0,12,5,18,2,20,22,15,6,9,0.104265403,0.6875,0.181069959,222,0,222,0,222,0,11,211,0.95045045,0,0.04954955,79,0,9,0,1
dfgebreh,CSC226-001-STADDON-S16,453,0,4661.923,4551.009,110.914,10.20114442,11.0914,10.18122819,12.60496794,0,15,21,66,9,35,45,66,31,35,0.108958838,2.368421053,0.208333333,422,0,422,0,422,0,9,413,0.978672986,0,0.021327014,97,0,8,0,8
mcamar,CSC226-001-STADDON-S16,176,4,1368.504,1286.397,82.107,7.6028,2.56584375,8.691871622,13.45972941,4,9,15,1,4,58,12,17,9,8,0.111111111,0.8,0.195121951,121,1,122,0,122,0,14,108,0.885245902,0.032786885,0.114754098,0,0,9,0,1
