student,course,currLevel,Interaction,hintCount,TotalTime,TotalPSTime,TotalWETime,avgstepTime,avgstepTimeWE,avgstepTimePS,stepTimeDeviation,englishSymbolicSwitchCount,UseCount,PrepCount,MorphCount,OptionalCount,InterfaceErrorCount,RightApp,WrongApp,WrongSemanticsApp,WrongSyntaxApp,PrightAppRatio,RrightAppRatio,F1Score,FDActionCount,BDActionCount,DirectProofActionCount,InDirectProofActionCount,actionCount,UseWindowInfo,NonPSelements,AppCount,AppRatio,hintRatio,BlankRatio,HoverHintCount,SystemInfoHintCount,NextStepClickCountWE,PreviousStepClickCountWE,deletedApp
kdabraha,CSC226-001-STADDON-S16,1,88,1,496.603,496.603,0,5.579808989,0,5.579808989,11.28900508,2,6,8,4,0,38,4,14,14,0,0.090909091,1,0.166666667,50,1,51,0,51,0,7,44,0.862745098,0.019607843,0.137254902,14,2,0,0,0
kdabraha,CSC226-001-STADDON-S16,1,6,0,12.719,0,12.719,2.119833333,2.119833333,0,11.28900508,0,0,0,0,0,2,0,0,0,0,0.163823355,0,0.316598632,4,0,4,0,4,0,4,0,0,0,1,0,0,4,0,0
kdabraha,CSC226-001-STADDON-S16,1,6,0,3.557,0,3.557,0.592833333,0.592833333,0,11.24036417,0,0,0,0,0,2,0,0,0,0,0.163823355,0,0.316598632,4,0,4,0,4,0,4,0,0,0,1,0,0,4,0,0
kdabraha,CSC226-001-STADDON-S16,1,30,0,103.156,103.156,0,3.327612903,0,3.327612903,9.968338414,0,2,3,0,0,10,4,1,1,0,0.19047619,1,0.32,21,0,21,0,21,0,0,21,1,0,0,7,0,0,0,0
kdabraha,CSC226-001-STADDON-S16,2,9,0,5.597,0,5.597,0.621888889,0.621888889,0,9.929921328,0,0,0,0,0,2,0,0,0,0,0.163823355,0,0.316598632,7,0,7,0,7,0,7,0,0,0,1,0,0,7,0,0
kdabraha,CSC226-001-STADDON-S16,2,888,4,3139.671,3139.671,0,3.523760943,0,3.523760943,7.167144928,2,43,25,82,24,243,48,127,69,58,0.077669903,12,0.154340836,633,15,621,27,648,0,30,618,0.953703704,0.00617284,0.046296296,170,0,0,0,13
kdabraha,CSC226-001-STADDON-S16,2,42,0,126.603,126.603,0,2.944255814,0,2.944255814,6.896338496,0,2,2,4,0,14,6,2,1,1,0.206896552,1.2,0.352941176,29,0,29,0,29,0,0,29,1,0,0,8,0,0,0,0
kdabraha,CSC226-001-STADDON-S16,3,13,0,53.45,0,53.45,4.111538462,4.111538462,0,6.896338496,0,0,0,0,0,2,0,0,0,0,0.163823355,0,0.316598632,11,0,11,0,11,0,11,0,0,0,1,0,0,8,3,0
kdabraha,CSC226-001-STADDON-S16,3,3,0,7.49,0,7.49,2.496666667,2.496666667,0,6.890422303,0,0,0,0,0,3,0,0,0,0,0.163823355,0,0.316598632,0,0,0,0,0,0,0,0,0.639372648,0.022369327,0.360434041,0,0,0,0,0
kdabraha,CSC226-001-STADDON-S16,3,370,0,1095.304,1095.304,0,2.952301887,0,2.952301887,5.973027871,0,24,9,28,4,77,27,38,21,17,0.091836735,5.4,0.180602007,294,0,294,0,294,0,0,294,1,0,0,61,0,0,0,20
kdabraha,CSC226-001-STADDON-S16,3,118,0,522.469,522.469,0,4.390495798,0,4.390495798,6.300085585,0,5,4,5,10,30,14,10,3,7,0.16091954,2.8,0.304347826,89,0,89,0,89,0,2,87,0.97752809,0,0.02247191,20,0,0,0,2
kdabraha,CSC226-001-STADDON-S16,4,53,0,181.789,181.789,0,3.366462963,0,3.366462963,6.338016179,0,8,2,0,1,15,6,5,0,5,0.153846154,1,0.266666667,39,0,39,0,39,0,0,39,1,0,0,3,0,0,0,0
kdabraha,CSC226-001-STADDON-S16,4,9,0,4.746,0,4.746,0.527333333,0.527333333,0,6.3355313,0,0,0,0,0,2,0,0,0,0,0.163823355,0,0.316598632,7,0,7,0,7,0,7,0,0,0,1,0,0,7,0,0
kdabraha,CSC226-001-STADDON-S16,4,135,0,432.847,432.847,0,3.182698529,0,3.182698529,6.117333742,0,5,3,19,2,26,19,10,6,4,0.172727273,3.166666667,0.327586207,110,0,110,0,110,0,0,110,1,0,0,12,0,0,0,4
