student,course,Interaction,hintCount,TotalTime,TotalPSTime,TotalWETime,avgstepTime,avgstepTimeWE,avgstepTimePS,stepTimeDeviation,englishSymbolicSwitchCount,UseCount,PrepCount,MorphCount,OptionalCount,InterfaceErrorCount,RightApp,WrongApp,WrongSemanticsApp,WrongSyntaxApp,PrightAppRatio,RrightAppRatio,F1Score,FDActionCount,BDActionCount,DirectProofActionCount,InDirectProofActionCount,actionCount,UseWindowInfo,NonPSelements,AppCount,AppRatio,hintRatio,BlankRatio,HoverHintCount,SystemInfoHintCount,NextStepClickCountWE,PreviousStepClickCountWE,deletedApp
kdabraha,CSC226-001-STADDON-S16,2024,5,6808.418,6712.803,95.615,3.319560215,1.542177419,3.374963801,5.711012281,4,111,65,165,41,565,160,223,123,100,0.114122682,1.538461538,0.2124834,1470,16,1459,27,1486,0,84,1402,0.943472409,0.003364738,0.056527591,314,2,42,3,41
dfgebreh,CSC226-001-STADDON-S16,2613,36,28933.146,27280.4,1652.746,10.8567152,13.01374803,10.74877857,15.70850624,2,139,198,223,35,329,217,378,142,236,0.102551985,1.607407407,0.192803199,2331,5,2322,14,2336,30,220,2116,0.905821918,0.015410959,0.094178082,293,18,52,3,60
mcamar,CSC226-001-STADDON-S16,1152,9,12472.311,12092.238,380.073,10.56080525,4.000768421,11.13465746,16.28575331,4,62,66,121,34,253,176,107,67,40,0.209274673,0.834123223,0.33460076,926,2,928,0,928,0,87,841,0.90625,0.009698276,0.09375,4,0,56,1,26
bpgoodso,CSC226-001-STADDON-S16,2195,9,15305.898,15197.435,108.463,6.879055281,1.595044118,7.045635141,12.66709053,2,61,96,200,61,534,304,115,85,30,0.186503067,2.814814815,0.349827388,1684,7,1566,125,1691,0,61,1630,0.963926671,0.005322295,0.036073329,207,4,41,0,55
mwprice,CSC226-001-STADDON-S16,775,1,2941.346,2717.59,223.756,3.667513716,1.84922314,3.990587372,6.830374434,2,40,35,40,13,231,88,40,15,25,0.176352705,0.752136752,0.285714286,568,3,571,0,571,8,72,499,0.873905429,0.001751313,0.126094571,78,4,52,1,1
ermurph6,CSC226-001-STADDON-S16,1052,37,6972.64,6703.884,268.756,6.480148699,4.799214286,6.572435294,10.74782732,0,75,53,58,29,266,138,77,56,21,0.194092827,1.277777778,0.336996337,803,7,810,0,810,2,99,711,0.877777778,0.045679012,0.122222222,41,2,43,0,20
rmdimart,CSC226-001-STADDON-S16,2488,72,9687.473,9365.599,321.874,3.839664289,2.595758065,3.903959566,7.678005615,12,164,120,204,82,548,187,385,136,249,0.106492027,0.939698492,0.191304348,1935,40,1671,304,1975,6,219,1756,0.889113924,0.036455696,0.110886076,82,11,54,11,28
tadanie2,CSC226-001-STADDON-S16,1079,0,4422.635,3995.552,427.083,4.013280399,6.015253521,3.875414161,6.717494804,4,69,35,60,16,171,112,68,47,21,0.130081301,1.037037037,0.231166151,928,3,931,0,931,2,70,861,0.92481203,0,0.07518797,293,12,51,0,20
rvisador,CSC226-001-STADDON-S16,1751,48,8105.934,7917.198,188.736,4.556455312,2.451116883,4.651702703,7.259681186,6,129,78,112,45,263,166,201,144,57,0.120115774,0.922222222,0.212548015,1508,8,1229,287,1516,7,134,1382,0.911609499,0.031662269,0.088390501,229,2,49,0,36
riestell,CSC226-001-STADDON-S16,1132,12,5838.051,5727.691,110.36,5.050217128,1.345853659,5.333045624,8.627154765,4,71,79,73,9,348,140,92,71,21,0.198019802,0.858895706,0.32183908,807,1,589,219,808,0,101,707,0.875,0.014851485,0.125,46,0,57,0,7
calumsd2,CSC226-001-STADDON-S16,1751,21,10827.778,9615.294,1212.484,6.103595265,12.00479208,5.747336521,10.05432984,32,134,75,132,15,319,184,172,104,68,0.142746315,1.187096774,0.254847645,1442,13,1304,151,1455,20,166,1289,0.885910653,0.01443299,0.114089347,246,18,67,1,20
rtmarsha,CSC226-001-STADDON-S16,972,19,4854.495,4437.385,417.11,4.864223447,5.561466667,4.807567714,8.935776566,8,46,46,31,1,338,79,45,30,15,0.141323792,0.675213675,0.233727811,645,15,658,2,660,2,101,559,0.846969697,0.028787879,0.153030303,137,10,54,1,5
jmcaskey,CSC226-001-STADDON-S16,1256,18,6468.738,6224.44,244.298,5.04975644,3.540550725,5.135676568,9.029630161,2,60,58,40,33,383,106,85,56,29,0.128019324,0.981481481,0.226495726,898,0,898,0,898,2,70,828,0.922048998,0.020044543,0.077951002,238,6,43,0,6
kepechac,CSC226-001-STADDON-S16,874,20,6127.016,5140.86,986.156,6.822957684,5.540202247,7.140083333,13.50224937,2,51,38,30,9,328,89,39,20,19,0.188559322,0.706349206,0.297658863,570,0,570,0,570,0,98,472,0.828070175,0.035087719,0.171929825,17,14,53,6,0
mjgordo3,CSC226-001-STADDON-S16,1144,8,4505.791,4283.593,222.198,3.818466949,3.31638806,3.848690925,6.985304413,2,90,57,80,7,277,171,63,30,33,0.206272618,1.195804196,0.351851852,897,6,866,37,903,2,74,829,0.918050941,0.008859358,0.081949059,60,7,36,1,10
swmeyer,CSC226-001-STADDON-S16,2102,12,11341.837,10782.65,559.187,5.332316408,6.427436782,5.285612745,9.801694212,10,146,103,131,42,410,284,139,118,21,0.174876847,2.327868852,0.325315006,1708,9,844,873,1717,0,93,1624,0.94583576,0.006988934,0.05416424,538,2,42,3,25
imfisher,CSC226-001-STADDON-S16,2082,13,11586.861,11333.309,253.552,5.491403318,2.510415842,5.64126879,10.26239227,4,93,93,136,77,602,152,247,201,46,0.108031272,0.734299517,0.188351921,1500,8,1508,0,1508,0,101,1407,0.933023873,0.00862069,0.066976127,48,12,51,1,54
