"student","course","group","LastLevelCompleted","L1.BadSteps","L2.BadSteps","L3.BadSteps","L4.BadSteps","L5.BadSteps","L6.BadSteps","L1.Percentile","L2.Percentile","L3.Percentile","L4.Percentile","L5.Percentile","L6.Percentile","L1.Score","L2.Score","L3.Score","L4.Score","L5.Score","L6.Score","L1.Zscore","L2.Zscore","L3.Zscore","L4.Zscore","L5.Zscore","L6.Zscore","L2.Path","L3.Path","L4.Path","L5.Path","L6.Path","L1.Reward","L2.Reward","L3.Reward","L4.Reward","L5.Reward","L6.Reward","condition","Interaction","hintCount","immediateHintFollowCount","delayHintFollowCount","PSCount","WECount","SkipCount","RestartCount","TotalTime","TotalPSTime","TotalWETime","avgTime","avgPSTime","avgWETime","avgstepTime","avgstepTimeWE","avgstepTimePS","IdleTime","IdleTimeCount","stepTimeDeviation","IdleTimeDeviation","symbolicRepresentationCount","englishRepresentationCount","englishSymbolicSwitchCount","difficultProblemCountSolved","difficultProblemCountWE","easyProblemCountSolved","easyProblemCountWE","UseCount","PrepCount","MorphCount","OptionalCount","InterfaceErrorCount","RightApp","WrongApp","WrongSemanticsApp","WrongSyntaxApp","PrightAppRatio","RrightAppRatio","F1Score","FDActionCount","BDActionCount","DirectProofActionCount","InDirectProofActionCount","actionCount","UseWindowInfo","NonPSelements","AppCount","AppRatio","hintRatio","BlankRatio","HoverHintCount","SystemInfoHintCount","NextStepClickCountWE","PreviousStepClickCountWE","deletedApp","unusedApp","ruleScoreMP","ruleScoreDS","ruleScoreSIMP","ruleScoreMT","ruleScoreADD","ruleScoreCONJ","ruleScoreHS","ruleScoreCD","ruleScoreDN","ruleScoreDEM","ruleScoreIMPL","ruleScoreCONTRA","ruleScoreEQUIV","ruleScoreNULL","ruleScoreCOM","ruleScoreASSOC","ruleScoreDIST","ruleScoreABS","ruleScoreEXP","ruleScoreTAUT","lg","nlg","square.nlg","nlg2","nlg3","X2","X3","postTest"
"aakkian","CSC226-001-STADDON-S16","Ensemble_Immediate",6,14,8,12,1,NA,40,86.4077669902913,95.6521739130435,92.3076923076923,57.1428571428571,NA,100,-72.8155339805825,-51.304347826087,-100,-74.2857142857143,NA,-60,-0.446343174338571,-2.2365735806309,-0.184230610002377,0.117579270250443,NA,-2.40838537249186,1,-1,-1,-1,1,-72.8155339805825,21.5111861544955,-48.695652173913,25.7142857142857,NA,NA,"Ensemble_Immediate",2949,32,NA,NA,9,14,131,6,30216.1485269135,28860.0445269135,1356.104,1313.74558812667,3206.6716141015,96.8645714285714,10.1226628230866,8.52895597484277,10.212329981215,NA,NA,55.2193853484137,NA,15,48,24,2,8,5,4,114,99,79,16,488,164,144,86,58,0.0747834017327861,0.485207100591716,0.129593046226788,2470,27,2493,4,2497,2,304,2193,0.878253904685623,0.012815378454145,0.121746095314377,1342,2,98,8,36,NA,0.716752730400657,0.999991014426426,0.999999579514789,0.0117948465539759,0.0719546425381409,0.926427554912914,0.0143696527857834,0.0313803664167646,0.25846399217254,0.724082617985698,0.088898994222611,0.0159291846924576,0.20954100386817,0.01,0.0402051768378645,0.0115226260758516,0.0117959576964281,0.0115226260758516,0.0113409221902017,0.0115226260758516,12.8155339805825,0.0741573033707864,0.974866883865012,0.0741573033707864,0.176,16,16,100
"aatavenn","CSC226-001-STADDON-S16","Cond 2",6,2,3,0,25,3,7,60.1851851851852,57.1428571428571,30.7692307692308,82.6086956521739,29.4117647058824,55,-20.3703703703704,-74.2857142857143,-21.5384615384615,-25.2173913043478,81.1764705882353,30,0.280748822848452,0.462485556399575,0.552691830007131,-0.768756728388924,0.788151341319639,0.232037128911176,-1,-1,1,1,1,-20.3703703703704,-53.9153439153439,52.7472527472527,-3.67892976588627,106.393861892583,-51.1764705882353,"Cond 2",1271,4,NA,NA,12,9,2,2,7854.883,7706.524,148.359,374.042047619048,642.210333333333,16.4843333333333,6.05619352351581,2.21431343283582,6.26546666666667,NA,NA,10.9598025432151,NA,22,0,0,5,4,4,4,72,71,104,25,205,134,138,96,42,0.129468599033816,1.22935779816514,0.234265734265734,1092,0,1092,0,1092,0,57,1035,0.947802197802198,0.00366300366300366,0.0521978021978022,126,4,45,0,25,NA,0.423752484174028,0.771325987403943,0.605881048950512,0.0151844683831456,0.562475443776249,0.14309219218175,0.997727065259373,0.01,0.245215278089798,0.591003671738224,0.963646883913994,0.86682864597863,0.0437491762098909,0.01,0.454126452240226,0.0137131569238903,0.0115511663949306,0.0113409221902017,0.01,0.0115226260758516,50.3703703703704,0.418461538461539,4.59108513077929,0.418461538461539,2.47272727272727,12,16,87.5
"abkarche","CSC226-001-STADDON-S16","Ensemble_Immediate",6,7,14,59,15,80,32,81.5533980582524,100,100,100,100,100,-63.1067961165049,-60,-100,-100,-100,-100,-0.00489814183087595,-4.35059518424093,-3.07051016670628,-11.405189214293,-39.543818108528,-3.6215607794622,1,-1,-1,-1,-1,-63.1067961165049,3.10679611650485,-40,0,0,0,"Ensemble_Immediate",2539,50,NA,NA,12,10,1,6,16051.1601161481,15757.7011161481,293.459,729.598187097641,1313.14175967901,29.3459,6.26264538281236,2.69228440366972,6.42123109867485,NA,NA,37.5184186401059,NA,23,0,2,3,1,7,7,359,162,228,103,504,131,721,458,263,0.068264721208963,1.18018018018018,0.129064039408867,1923,136,2033,26,2059,0,140,1919,0.93200582807188,0.0242836328314716,0.0679941719281204,26,10,60,5,38,NA,0.013771116344275,0.0276533088672304,0.0115520214376329,0.011625627040197,0.122266729176229,0.0115511576886916,0.0115511551284726,0.0115511551155116,0.373854385714119,0.404549711163088,0.0145604939071114,0.0143687411772135,0.0115511551155115,0.01,0.0115511551155115,0.0115511551155115,0.0115511551155104,0.0115511551155115,0.0115511551155115,0.0115511551155114,-36.8932038834951,-0.226190476190476,-2.88875256029312,-0.226190476190476,-0.584615384615383,14,12,81.25
"adbishel","CSC226-001-STADDON-S16","Cond 2",1,0,NA,NA,NA,NA,NA,25.9259259259259,NA,NA,NA,NA,NA,48.1481481481482,-300,NA,NA,NA,NA,0.437041981959962,-20,NA,NA,NA,NA,-1,NA,NA,NA,NA,48.1481481481482,-348.148148148148,NA,NA,NA,NA,"Cond 2",97,0,NA,NA,3,1,0,0,945.3,846.514,98.786,236.325,282.171333333333,98.786,9.00285714285714,6.174125,9.51139325842697,NA,NA,15.2477273902471,NA,6,0,2,0,0,0,0,12,11,0,0,25,20,3,3,0,0.298507462686567,0.740740740740741,0.425531914893617,80,0,80,0,80,0,13,67,0.8375,0,0.1625,0,4,6,2,0,NA,0.800831062974634,0.48401095901753,0.975683953432752,0.0431547736030487,0.297072352959503,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,NA,NA,NA,NA,NA,16,16,100
"adhayes2","CSC226-001-STADDON-S16","Ensemble_Delay",6,3,1,1,4,7,3,66.9902912621359,65.2173913043478,58.8235294117647,30.4347826086957,58.8235294117647,35,-33.9805825242719,9.56521739130434,22.3529411764706,79.1304347826087,22.3529411764706,70,0.247356162459236,0.229784956914134,0.471156346354633,0.687358957147744,-0.0492594588324775,0.552088341202454,1,1,1,1,1,-33.9805825242719,43.5457999155762,12.7877237851662,56.7774936061381,-56.7774936061381,47.6470588235294,"Ensemble_Delay",1006,0,NA,NA,13,6,0,0,4824.02265390937,4403.95165390937,420.071,253.895929153125,338.765511839182,70.0118333333333,4.67444055611373,6.26971641791045,4.5636804703724,NA,NA,24.7395385715872,NA,18,0,2,10,5,0,0,68,66,58,4,269,127,69,31,38,0.18273381294964,1.17592592592593,0.316313823163138,763,0,327,436,763,0,68,695,0.910878112712975,0,0.0891218872870249,60,4,40,7,12,NA,0.809956670417564,0.990141484497869,0.999993869231266,0.035250525281336,0.691292024476918,0.756674506292412,0.0115499064798536,0.01,0.868045543478097,0.905847631427781,0.976208532045644,0.01,0.043673971387,0.01,0.0113409221902017,0.0113409221902017,0.052450453123748,0.01,0.01,0.01,103.980582524272,0.776086956521739,8.98320509777105,0.776086956521739,3.06,16,16,100
"aeezhila","CSC226-001-STADDON-S16","Ensemble_Immediate",6,1,3,1,10,6,9,48.5436893203884,86.9565217391304,58.8235294117647,52.1739130434783,58.8235294117647,55,2.91262135922329,-33.9130434782609,22.3529411764706,35.6521739130435,22.3529411764706,30,0.373483314604291,-0.474888910955877,0.471156346354633,0.271325904137267,0.160093241205552,0.0720115227655375,1,1,1,1,1,2.91262135922329,-36.8256648374842,56.2659846547315,13.2992327365729,-13.2992327365729,7.64705882352941,"Ensemble_Immediate",573,5,NA,NA,7,11,0,0,4738.94,4248.047,490.893,263.274444444444,606.863857142857,44.6266363636364,8.05942176870748,4.46266363636364,8.88712761506276,NA,NA,23.1221658275051,NA,18,0,2,5,9,0,0,40,35,25,4,106,57,47,37,10,0.146153846153846,0.527777777777778,0.228915662650602,478,4,482,0,482,4,92,390,0.809128630705394,0.0103734439834025,0.190871369294606,54,4,77,1,11,NA,0.63163691980147,0.546296105811516,0.879136342906427,0.0214444703220795,0.0401720309570341,0.425927260012736,0.161433133575773,0.0154186819671692,0.0802450238945548,0.694693002197788,0.878256509202472,0.0393117647058824,0.0393117647058824,0.01,0.0113409221902017,0.01,0.01,0.0137131569238903,0.01,0.01,27.0873786407767,0.279,2.74906868607838,0.279,9.30000000000004,0,0,0
"aepeck","CSC226-001-STADDON-S16","Cond 2",6,1,3,1,4,9,11,52.3148148148148,57.1428571428571,38.4615384615385,100,100,71.4285714285714,-4.62962962962963,-74.2857142857143,-36.9230769230769,-100,-100,-100,0.358895402404207,0.462485556399575,0.491281626673005,-2.35158540500886,-3.3802092762559,-0.314918328648887,-1,-1,-1,-1,-1,-4.62962962962963,-69.6560846560846,37.3626373626373,-63.0769230769231,0,0,"Cond 2",1906,24,NA,NA,18,6,8,5,6251.565,6083.881,167.684,260.481875,337.993388888889,27.9473333333333,3.21582561728395,3.49341666666667,3.20879799578059,NA,NA,6.1156755812097,NA,29,0,4,3,3,12,2,144,104,123,34,478,206,199,94,105,0.149927219796215,1.40136054421769,0.270874424720578,1438,28,1190,276,1466,6,92,1374,0.937244201909959,0.0163710777626194,0.0627557980900409,208,6,33,2,17,NA,0.0507999339314257,0.0337047463172628,0.999999740963226,0.0115677525503725,0.146614427063767,0.988014987193224,0.0432299391203582,0.0416603464818424,0.526314363017038,0.48678029669449,0.999997743570446,0.0437291809254909,0.427458457967378,0.01,0.0133517554673112,0.0115921050722876,0.0124355297634785,0.0115472830123936,0.0113409221902017,0.0115511551155115,-95.3703703703704,-0.911504424778761,-9.32365349985626,-0.911504424778761,-20.6,14,16,93.75
"afalfais","CSC226-001-STADDON-S16","Cond 5",6,0,NA,NA,NA,NA,35,25.9259259259259,NA,NA,NA,NA,95,48.1481481481482,NA,NA,NA,NA,-50,0.437041981959962,NA,NA,NA,NA,-2.00832135712777,NA,NA,NA,1,1,48.1481481481482,NA,NA,NA,NA,NA,"Cond 5",999,139,NA,NA,5,3,28,4,4870.4,4666.37,204.03,608.8,933.274,68.01,4.74697855750487,4.74488372093023,4.74707019328586,NA,NA,8.32331567963344,NA,14,11,10,3,1,0,0,63,88,36,16,240,54,149,109,40,0.0947368421052632,0.495412844036697,0.159057437407953,785,1,778,8,786,6,216,570,0.725190839694656,0.176844783715013,0.274809160305344,59,10,8,3,8,NA,0.799153228558286,0.0547285166375406,0.158314681520251,0.0115510837829704,0.0115511550913028,0.0437491762098909,0.0347520027853933,0.0113409221902017,0.488207636587315,0.0943559087551755,0.174203464915546,0.297072352959503,0.060477515110586,0.01,0.0115506295623785,0.0113409221902017,0.0153292175704009,0.0113409221902017,0.0115472830123936,0.0115226260758516,-98.1481481481482,-1.89285714285715,-13.6301292466515,-1.89285714285715,-2.03846153846154,8,16,75
"agevans","CSC226-001-STADDON-S16","Cond 2",1,11,NA,NA,NA,NA,NA,88.4259259259259,NA,NA,NA,NA,NA,-76.8518518518518,-300,NA,NA,NA,NA,-0.422570393153341,-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,-76.8518518518518,-223.148148148148,NA,NA,NA,NA,"Cond 2",1434,23,NA,NA,1,2,15,0,7244.683,6920.46,324.223,2414.89433333333,6920.46,162.1115,5.01709349030471,8.31341025641026,4.92559430604982,NA,NA,11.3116108696839,NA,18,0,2,0,0,0,0,180,113,130,149,135,69,504,216,288,0.0561889250814332,1.02985074626866,0.106563706563707,1300,9,1291,18,1309,2,81,1228,0.938120702826585,0.0175706646294882,0.0618792971734148,11,4,22,7,33,NA,0.0228501735282231,0.0131732846650374,0.0289105793100416,0.0115511551202305,0.011562476084462,0.0181383612029866,0.0115511551155115,0.011592329929898,0.0115511570040597,0.0115966173531742,0.0154674808518346,0.0296937563003105,0.0115511551155115,0.01,0.011551258072387,0.0118544235154312,0.0293789212607753,0.0115511551155115,0.013769849921297,0.0118529176197226,NA,NA,NA,NA,NA,4,4,25
"aglong","CSC226-001-STADDON-S16","Cond 6",6,3,2,0,4,3,1,68.9814814814815,57.1428571428571,30.7692307692308,30.4347826086957,72.7272727272727,10,-37.962962962963,-74.2857142857143,-21.5384615384615,79.1304347826087,-100,100,0.202602243292698,0.560588553211606,0.552691830007131,0.687358957147744,-0.324129656627278,0.712113947348093,-1,-1,1,-1,1,-37.962962962963,-36.3227513227513,52.7472527472527,100.66889632107,-179.130434782609,200,"Cond 6",648,0,NA,NA,14,9,0,1,4158.116,3672.632,485.484,180.787652173913,262.330857142857,53.9426666666667,6.09694428152493,6.14536708860759,6.09060033167496,NA,NA,8.89007508365885,NA,21,0,2,4,2,7,5,51,42,23,1,247,91,26,20,6,0.233933161953728,0.883495145631068,0.369918699186992,430,5,369,66,435,1,46,389,0.894252873563218,0,0.105747126436782,46,2,38,1,0,NA,0.999967596522937,0.999883461691834,0.999999246370895,0.14638015781967,0.297072352959503,0.641863976778009,0.566085838631575,0.0393117647058824,0.841291180525522,0.725180082133612,0.138762804809967,0.102169070011049,0.0393117647058824,0.01,0.0246558823529412,0.01,0.01,0.01,0.01,0.01,137.962962962963,1,11.7457636177033,1,3.63414634146341,4,16,62.5
