"","student","problem.ward"
"1","kdabraha","1"
"2","dfgebreh","1"
"3","mcamar","2"
"4","bpgoodso","3"
"5","mwprice","2"
"6","ermurph6","2"
"7","rmdimart","3"
"8","tadanie2","3"
"9","rvisador","1"
"10","riestell","3"
"11","calumsd2","3"
"12","rtmarsha","3"
"13","jmcaskey","2"
"14","kepechac","2"
"15","mjgordo3","3"
"16","swmeyer","3"
"17","imfisher","3"
"18","jbcolem2","2"
"19","kjmcgowa","1"
"20","dhendri","2"
"21","jckindle","2"
"22","blaffra","2"
"23","wjbaker2","3"
"24","mlbrow15","2"
"25","drjohns7","2"
"26","jchardi3","3"
"27","amombong","3"
"28","madair","3"
"29","cwong6","3"
"30","stking3","3"
"31","otrinh","3"
"32","mcheste3","3"
"33","jtwall3","2"
"34","rnsmith3","1"
"35","cwscott3","1"
"36","ccolgla","3"
"37","aliman","3"
"38","dmpage","3"
"39","mtrichar","2"
"40","znmarten","1"
"41","psbrown2","3"
"42","cedavi11","3"
"43","jmjarrie","2"
"44","smadapu","3"
"45","jtdreman","2"
"46","miquaint","2"
"47","nlhartze","3"
"48","sxue2","3"
"49","jlsimps4","2"
"50","aatavenn","2"
"51","jgibbs2","3"
"52","dbmclaur","3"
"53","sastump","1"
"54","rtvandyk","2"
"55","jlcason","2"
"56","dabarcen","2"
"57","aepeck","3"
"58","bjforema","1"
"59","asatish","3"
"60","aakkian","1"
"61","cznesbit","1"
"62","pjayaku","3"
"63","smdavis7","2"
"64","machaffe","3"
"65","scmcmurr","3"
"66","rjwoods3","3"
"67","ajpappas","3"
"68","thle","3"
"69","wktaylo2","3"
"70","pdtrinh","3"
"71","tvbarnet","2"
"72","ekducket","2"
"73","bchawkin","3"
"74","msawada","2"
"75","zjgiorda","2"
"76","aeezhila","2"
"77","nasnouwa","3"
"78","hmpierce","2"
"79","cmblank2","3"
"80","mhester3","3"
"81","gsubram5","2"
"82","rtquinn2","2"
"83","rbscott2","3"
"84","abkarche","1"
"85","ctmaynar","2"
"86","ztbrownl","2"
"87","anmodali","1"
"88","nagallo","2"
"89","htyadon","2"
"90","nrsischo","3"
"91","tavanza2","3"
"92","ywang103","2"
"93","ealdama","2"
"94","lmmoland","2"
"95","phgwynne","2"
"96","ljvandep","1"
"97","rcquisto","3"
"98","tlcheek","2"
"99","jmtimper","3"
"100","maskelto","1"
"101","mdsonnen","3"
"102","jhwooste","1"
"103","jtaboad","1"
"104","ajsawyer","3"
"105","sdllewel","3"
"106","pfleimer","2"
"107","bjyounce","3"
"108","ampoe3","1"
"109","mamajett","2"
"110","marora2","1"
"111","klsebast","2"
"112","srritter","1"
"113","ssganni","2"
"114","wjglas","3"
"115","nrconlon","3"
"116","adhayes2","2"
"117","kabartus","3"
"118","kjeanne","2"
"119","cntucke2","3"
"120","nabruins","3"
"121","sfang3","3"
"122","mlmeeks","2"
"123","hmealey","3"
"124","nwelch2","1"
"125","hmnguye3","3"
"126","dfkromer","1"
"127","jwmcadam","2"
"128","jakauffm","3"
"129","cchillen","3"
"130","asgargan","3"
"131","wgtolone","2"
"132","hqbui","3"
"133","jdmalatr","1"
"134","nlrobson","2"
"135","jkayani","2"
"136","cjenriqu","3"
"137","cbwagner","1"
"138","scfausz","3"
"139","mcheiden","1"
"140","jepatzer","2"
"141","kgohel2","3"
"142","dauchman","3"
"143","rbwest","1"
"144","jwschaff","3"
"145","tmsmiley","2"
"146","lhmenden","3"
"147","sjletica","3"
"148","jeclark5","3"
"149","tjdeaton","1"
"150","kjenkin3","3"
"151","jrconrad","1"
"152","ccyu","3"
"153","bjarring","3"
"154","kckwazem","3"
"155","wbotuel","3"
"156","esworthy","1"
"157","hrpoe","3"
"158","gtstewar","1"
"159","cnray2","3"
"160","sabeesle","2"
"161","cgtacker","2"
"162","wdhall3","2"
"163","emalhajj","1"
"164","rfgoodni","2"
"165","msmith7","3"
"166","mbkilroy","1"
"167","cbritt","3"
"168","mbbennis","1"
"169","kbmullea","1"
"170","gitopali","3"
"171","ktvalaku","3"
"172","dalacey","3"
"173","bmmansou","3"
"174","rmwalden","2"
"175","wtshaw","2"
"176","bapowers","2"
"177","hzhang27","3"
"178","jahannaf","2"
"179","wrcoakle","3"
"180","mdsabo","3"
"181","neashley","3"
"182","slmendez","3"
"183","bhtang","2"
"184","spcamass","1"
"185","jdhende5","3"
"186","tjiang8","2"
"187","cclewis","3"
"188","jareinha","3"
"189","jdmccorm","3"
"190","iggatlan","2"
"191","smschnei","3"
"192","psdhillo","3"
"193","pbwilli2","3"
"194","zcfearns","2"
"195","bjespela","3"
"196","rwu5","3"
"197","aglong","3"
