"","student","problem.average"
"1","kdabraha","1"
"2","dfgebreh","1"
"3","mcamar","1"
"4","bpgoodso","1"
"5","mwprice","1"
"6","ermurph6","1"
"7","rmdimart","1"
"8","tadanie2","1"
"9","rvisador","1"
"10","riestell","1"
"11","calumsd2","1"
"12","rtmarsha","1"
"13","jmcaskey","1"
"14","kepechac","1"
"15","mjgordo3","1"
"16","swmeyer","1"
"17","imfisher","1"
"18","jbcolem2","1"
"19","kjmcgowa","1"
"20","dhendri","1"
"21","jckindle","1"
"22","blaffra","1"
"23","wjbaker2","1"
"24","mlbrow15","2"
"25","drjohns7","1"
"26","jchardi3","1"
"27","amombong","1"
"28","madair","1"
"29","cwong6","1"
"30","stking3","1"
"31","otrinh","1"
"32","mcheste3","1"
"33","jtwall3","1"
"34","rnsmith3","1"
"35","cwscott3","1"
"36","ccolgla","1"
"37","aliman","1"
"38","dmpage","1"
"39","mtrichar","1"
"40","znmarten","1"
"41","psbrown2","1"
"42","cedavi11","1"
"43","jmjarrie","1"
"44","smadapu","1"
"45","jtdreman","1"
"46","miquaint","1"
"47","nlhartze","1"
"48","sxue2","1"
"49","jlsimps4","1"
"50","aatavenn","1"
"51","jgibbs2","1"
"52","dbmclaur","1"
"53","sastump","1"
"54","rtvandyk","1"
"55","jlcason","1"
"56","dabarcen","1"
"57","aepeck","1"
"58","bjforema","1"
"59","asatish","1"
"60","aakkian","1"
"61","cznesbit","1"
"62","pjayaku","1"
"63","smdavis7","1"
"64","machaffe","1"
"65","scmcmurr","1"
"66","rjwoods3","1"
"67","ajpappas","1"
"68","thle","1"
"69","wktaylo2","1"
"70","pdtrinh","1"
"71","tvbarnet","1"
"72","ekducket","1"
"73","bchawkin","1"
"74","msawada","1"
"75","zjgiorda","1"
"76","aeezhila","1"
"77","nasnouwa","1"
"78","hmpierce","1"
"79","cmblank2","1"
"80","mhester3","1"
"81","gsubram5","1"
"82","rtquinn2","1"
"83","rbscott2","1"
"84","abkarche","1"
"85","ctmaynar","1"
"86","ztbrownl","1"
"87","anmodali","1"
"88","nagallo","1"
"89","htyadon","1"
"90","nrsischo","1"
"91","tavanza2","1"
"92","ywang103","1"
"93","ealdama","1"
"94","lmmoland","1"
"95","phgwynne","1"
"96","ljvandep","1"
"97","rcquisto","1"
"98","tlcheek","1"
"99","jmtimper","1"
"100","maskelto","1"
"101","mdsonnen","1"
"102","jhwooste","1"
"103","jtaboad","1"
"104","ajsawyer","1"
"105","sdllewel","1"
"106","pfleimer","1"
"107","bjyounce","1"
"108","ampoe3","1"
"109","mamajett","1"
"110","marora2","1"
"111","klsebast","1"
"112","srritter","1"
"113","ssganni","1"
"114","wjglas","1"
"115","nrconlon","1"
"116","adhayes2","1"
"117","kabartus","1"
"118","kjeanne","1"
"119","cntucke2","1"
"120","nabruins","1"
"121","sfang3","1"
"122","mlmeeks","1"
"123","hmealey","1"
"124","nwelch2","1"
"125","hmnguye3","1"
"126","dfkromer","1"
"127","jwmcadam","1"
"128","jakauffm","1"
"129","cchillen","1"
"130","asgargan","1"
"131","wgtolone","1"
"132","hqbui","3"
"133","jdmalatr","1"
"134","nlrobson","1"
"135","jkayani","1"
"136","cjenriqu","1"
"137","cbwagner","1"
"138","scfausz","1"
"139","mcheiden","1"
"140","jepatzer","1"
"141","kgohel2","1"
"142","dauchman","1"
"143","rbwest","1"
"144","jwschaff","1"
"145","tmsmiley","1"
"146","lhmenden","1"
"147","sjletica","1"
"148","jeclark5","1"
"149","tjdeaton","1"
"150","kjenkin3","1"
"151","jrconrad","1"
"152","ccyu","1"
"153","bjarring","1"
"154","kckwazem","1"
"155","wbotuel","1"
"156","esworthy","1"
"157","hrpoe","1"
"158","gtstewar","1"
"159","cnray2","1"
"160","sabeesle","1"
"161","cgtacker","1"
"162","wdhall3","1"
"163","emalhajj","1"
"164","rfgoodni","1"
"165","msmith7","1"
"166","mbkilroy","1"
"167","cbritt","1"
"168","mbbennis","4"
"169","kbmullea","1"
"170","gitopali","1"
"171","ktvalaku","1"
"172","dalacey","1"
"173","bmmansou","1"
"174","rmwalden","1"
"175","wtshaw","1"
"176","bapowers","1"
"177","hzhang27","1"
"178","jahannaf","1"
"179","wrcoakle","1"
"180","mdsabo","1"
"181","neashley","1"
"182","slmendez","1"
"183","bhtang","1"
"184","spcamass","1"
"185","jdhende5","1"
"186","tjiang8","1"
"187","cclewis","1"
"188","jareinha","1"
"189","jdmccorm","1"
"190","iggatlan","1"
"191","smschnei","1"
"192","psdhillo","1"
"193","pbwilli2","1"
"194","zcfearns","1"
"195","bjespela","1"
"196","rwu5","1"
"197","aglong","1"
