"","student","problem.complete"
"1","kdabraha","1"
"2","dfgebreh","1"
"3","mcamar","2"
"4","bpgoodso","2"
"5","mwprice","2"
"6","ermurph6","1"
"7","rmdimart","1"
"8","tadanie2","1"
"9","rvisador","3"
"10","riestell","2"
"11","calumsd2","1"
"12","rtmarsha","3"
"13","jmcaskey","2"
"14","kepechac","1"
"15","mjgordo3","1"
"16","swmeyer","2"
"17","imfisher","2"
"18","jbcolem2","1"
"19","kjmcgowa","2"
"20","dhendri","2"
"21","jckindle","1"
"22","blaffra","1"
"23","wjbaker2","1"
"24","mlbrow15","4"
"25","drjohns7","3"
"26","jchardi3","3"
"27","amombong","2"
"28","madair","1"
"29","cwong6","1"
"30","stking3","2"
"31","otrinh","1"
"32","mcheste3","1"
"33","jtwall3","1"
"34","rnsmith3","2"
"35","cwscott3","2"
"36","ccolgla","3"
"37","aliman","1"
"38","dmpage","1"
"39","mtrichar","1"
"40","znmarten","2"
"41","psbrown2","2"
"42","cedavi11","1"
"43","jmjarrie","2"
"44","smadapu","2"
"45","jtdreman","2"
"46","miquaint","1"
"47","nlhartze","2"
"48","sxue2","1"
"49","jlsimps4","1"
"50","aatavenn","1"
"51","jgibbs2","1"
"52","dbmclaur","1"
"53","sastump","2"
"54","rtvandyk","2"
"55","jlcason","1"
"56","dabarcen","2"
"57","aepeck","1"
"58","bjforema","2"
"59","asatish","3"
"60","aakkian","1"
"61","cznesbit","1"
"62","pjayaku","2"
"63","smdavis7","1"
"64","machaffe","2"
"65","scmcmurr","2"
"66","rjwoods3","3"
"67","ajpappas","2"
"68","thle","1"
"69","wktaylo2","2"
"70","pdtrinh","2"
"71","tvbarnet","1"
"72","ekducket","2"
"73","bchawkin","2"
"74","msawada","2"
"75","zjgiorda","1"
"76","aeezhila","3"
"77","nasnouwa","1"
"78","hmpierce","1"
"79","cmblank2","2"
"80","mhester3","1"
"81","gsubram5","1"
"82","rtquinn2","1"
"83","rbscott2","2"
"84","abkarche","2"
"85","ctmaynar","2"
"86","ztbrownl","2"
"87","anmodali","2"
"88","nagallo","1"
"89","htyadon","1"
"90","nrsischo","1"
"91","tavanza2","1"
"92","ywang103","2"
"93","ealdama","1"
"94","lmmoland","1"
"95","phgwynne","1"
"96","ljvandep","3"
"97","rcquisto","2"
"98","tlcheek","2"
"99","jmtimper","1"
"100","maskelto","2"
"101","mdsonnen","3"
"102","jhwooste","1"
"103","jtaboad","2"
"104","ajsawyer","2"
"105","sdllewel","1"
"106","pfleimer","2"
"107","bjyounce","1"
"108","ampoe3","2"
"109","mamajett","1"
"110","marora2","2"
"111","klsebast","1"
"112","srritter","2"
"113","ssganni","2"
"114","wjglas","1"
"115","nrconlon","1"
"116","adhayes2","2"
"117","kabartus","2"
"118","kjeanne","1"
"119","cntucke2","1"
"120","nabruins","1"
"121","sfang3","2"
"122","mlmeeks","2"
"123","hmealey","1"
"124","nwelch2","1"
"125","hmnguye3","1"
"126","dfkromer","2"
"127","jwmcadam","3"
"128","jakauffm","2"
"129","cchillen","2"
"130","asgargan","2"
"131","wgtolone","3"
"132","hqbui","4"
"133","jdmalatr","3"
"134","nlrobson","2"
"135","jkayani","2"
"136","cjenriqu","2"
"137","cbwagner","1"
"138","scfausz","2"
"139","mcheiden","1"
"140","jepatzer","1"
"141","kgohel2","1"
"142","dauchman","1"
"143","rbwest","1"
"144","jwschaff","2"
"145","tmsmiley","1"
"146","lhmenden","2"
"147","sjletica","2"
"148","jeclark5","1"
"149","tjdeaton","1"
"150","kjenkin3","4"
"151","jrconrad","1"
"152","ccyu","2"
"153","bjarring","3"
"154","kckwazem","3"
"155","wbotuel","1"
"156","esworthy","1"
"157","hrpoe","2"
"158","gtstewar","2"
"159","cnray2","1"
"160","sabeesle","2"
"161","cgtacker","1"
"162","wdhall3","2"
"163","emalhajj","1"
"164","rfgoodni","1"
"165","msmith7","2"
"166","mbkilroy","1"
"167","cbritt","2"
"168","mbbennis","1"
"169","kbmullea","2"
"170","gitopali","2"
"171","ktvalaku","1"
"172","dalacey","1"
"173","bmmansou","1"
"174","rmwalden","2"
"175","wtshaw","1"
"176","bapowers","1"
"177","hzhang27","2"
"178","jahannaf","1"
"179","wrcoakle","2"
"180","mdsabo","2"
"181","neashley","3"
"182","slmendez","1"
"183","bhtang","2"
"184","spcamass","3"
"185","jdhende5","2"
"186","tjiang8","1"
"187","cclewis","1"
"188","jareinha","1"
"189","jdmccorm","1"
"190","iggatlan","1"
"191","smschnei","3"
"192","psdhillo","3"
"193","pbwilli2","2"
"194","zcfearns","1"
"195","bjespela","1"
"196","rwu5","1"
"197","aglong","1"
