"","student","problem.median"
"1","kdabraha","1"
"2","dfgebreh","2"
"3","mcamar","2"
"4","bpgoodso","1"
"5","mwprice","1"
"6","ermurph6","2"
"7","rmdimart","2"
"8","tadanie2","1"
"9","rvisador","3"
"10","riestell","2"
"11","calumsd2","2"
"12","rtmarsha","2"
"13","jmcaskey","2"
"14","kepechac","3"
"15","mjgordo3","3"
"16","swmeyer","3"
"17","imfisher","1"
"18","jbcolem2","2"
"19","kjmcgowa","1"
"20","dhendri","3"
"21","jckindle","3"
"22","blaffra","2"
"23","wjbaker2","3"
"24","mlbrow15","3"
"25","drjohns7","2"
"26","jchardi3","2"
"27","amombong","1"
"28","madair","4"
"29","cwong6","3"
"30","stking3","1"
"31","otrinh","4"
"32","mcheste3","2"
"33","jtwall3","3"
"34","rnsmith3","2"
"35","cwscott3","1"
"36","ccolgla","3"
"37","aliman","1"
"38","dmpage","4"
"39","mtrichar","3"
"40","znmarten","2"
"41","psbrown2","2"
"42","cedavi11","4"
"43","jmjarrie","3"
"44","smadapu","3"
"45","jtdreman","1"
"46","miquaint","2"
"47","nlhartze","1"
"48","sxue2","1"
"49","jlsimps4","3"
"50","aatavenn","2"
"51","jgibbs2","3"
"52","dbmclaur","3"
"53","sastump","1"
"54","rtvandyk","1"
"55","jlcason","2"
"56","dabarcen","2"
"57","aepeck","3"
"58","bjforema","2"
"59","asatish","2"
"60","aakkian","4"
"61","cznesbit","2"
"62","pjayaku","1"
"63","smdavis7","3"
"64","machaffe","1"
"65","scmcmurr","2"
"66","rjwoods3","1"
"67","ajpappas","2"
"68","thle","3"
"69","wktaylo2","1"
"70","pdtrinh","1"
"71","tvbarnet","2"
"72","ekducket","3"
"73","bchawkin","1"
"74","msawada","3"
"75","zjgiorda","2"
"76","aeezhila","3"
"77","nasnouwa","2"
"78","hmpierce","2"
"79","cmblank2","2"
"80","mhester3","1"
"81","gsubram5","2"
"82","rtquinn2","3"
"83","rbscott2","1"
"84","abkarche","1"
"85","ctmaynar","2"
"86","ztbrownl","3"
"87","anmodali","2"
"88","nagallo","3"
"89","htyadon","1"
"90","nrsischo","3"
"91","tavanza2","4"
"92","ywang103","2"
"93","ealdama","3"
"94","lmmoland","3"
"95","phgwynne","3"
"96","ljvandep","1"
"97","rcquisto","1"
"98","tlcheek","2"
"99","jmtimper","2"
"100","maskelto","3"
"101","mdsonnen","3"
"102","jhwooste","4"
"103","jtaboad","1"
"104","ajsawyer","3"
"105","sdllewel","2"
"106","pfleimer","3"
"107","bjyounce","3"
"108","ampoe3","1"
"109","mamajett","3"
"110","marora2","4"
"111","klsebast","3"
"112","srritter","1"
"113","ssganni","2"
"114","wjglas","2"
"115","nrconlon","2"
"116","adhayes2","3"
"117","kabartus","2"
"118","kjeanne","2"
"119","cntucke2","4"
"120","nabruins","2"
"121","sfang3","2"
"122","mlmeeks","3"
"123","hmealey","2"
"124","nwelch2","4"
"125","hmnguye3","3"
"126","dfkromer","2"
"127","jwmcadam","1"
"128","jakauffm","3"
"129","cchillen","1"
"130","asgargan","3"
"131","wgtolone","1"
"132","hqbui","3"
"133","jdmalatr","4"
"134","nlrobson","1"
"135","jkayani","2"
"136","cjenriqu","1"
"137","cbwagner","3"
"138","scfausz","4"
"139","mcheiden","3"
"140","jepatzer","2"
"141","kgohel2","2"
"142","dauchman","4"
"143","rbwest","2"
"144","jwschaff","3"
"145","tmsmiley","2"
"146","lhmenden","3"
"147","sjletica","1"
"148","jeclark5","3"
"149","tjdeaton","1"
"150","kjenkin3","1"
"151","jrconrad","3"
"152","ccyu","3"
"153","bjarring","2"
"154","kckwazem","2"
"155","wbotuel","2"
"156","esworthy","1"
"157","hrpoe","1"
"158","gtstewar","2"
"159","cnray2","3"
"160","sabeesle","2"
"161","cgtacker","3"
"162","wdhall3","3"
"163","emalhajj","2"
"164","rfgoodni","2"
"165","msmith7","3"
"166","mbkilroy","1"
"167","cbritt","3"
"168","mbbennis","4"
"169","kbmullea","1"
"170","gitopali","4"
"171","ktvalaku","2"
"172","dalacey","2"
"173","bmmansou","2"
"174","rmwalden","2"
"175","wtshaw","4"
"176","bapowers","3"
"177","hzhang27","1"
"178","jahannaf","3"
"179","wrcoakle","4"
"180","mdsabo","2"
"181","neashley","3"
"182","slmendez","3"
"183","bhtang","4"
"184","spcamass","2"
"185","jdhende5","3"
"186","tjiang8","3"
"187","cclewis","2"
"188","jareinha","2"
"189","jdmccorm","1"
"190","iggatlan","2"
"191","smschnei","3"
"192","psdhillo","3"
"193","pbwilli2","3"
"194","zcfearns","3"
"195","bjespela","4"
"196","rwu5","2"
"197","aglong","1"
