"","student","problem.ward"
"1","kdabraha","1"
"2","dfgebreh","2"
"3","mcamar","3"
"4","bpgoodso","1"
"5","mwprice","4"
"6","ermurph6","3"
"7","rmdimart","4"
"8","tadanie2","4"
"9","rvisador","4"
"10","riestell","3"
"11","calumsd2","1"
"12","rtmarsha","3"
"13","jmcaskey","4"
"14","kepechac","3"
"15","mjgordo3","3"
"16","swmeyer","4"
"17","imfisher","2"
"18","jbcolem2","3"
"19","kjmcgowa","3"
"20","dhendri","3"
"21","jckindle","4"
"22","blaffra","3"
"23","wjbaker2","4"
"24","mlbrow15","3"
"25","drjohns7","3"
"26","jchardi3","1"
"27","amombong","4"
"28","madair","3"
"29","cwong6","4"
"30","stking3","4"
"31","otrinh","1"
"32","mcheste3","3"
"33","jtwall3","3"
"34","rnsmith3","1"
"35","cwscott3","1"
"36","ccolgla","4"
"37","aliman","4"
"38","dmpage","3"
"39","mtrichar","3"
"40","znmarten","1"
"41","psbrown2","3"
"42","cedavi11","4"
"43","jmjarrie","3"
"44","smadapu","3"
"45","jtdreman","3"
"46","miquaint","3"
"47","nlhartze","3"
"48","sxue2","3"
"49","jlsimps4","3"
"50","aatavenn","4"
"51","jgibbs2","3"
"52","dbmclaur","3"
"53","sastump","2"
"54","rtvandyk","4"
"55","jlcason","4"
"56","dabarcen","3"
"57","aepeck","4"
"58","bjforema","4"
"59","asatish","3"
"60","aakkian","3"
"61","cznesbit","4"
"62","pjayaku","4"
"63","smdavis7","3"
"64","machaffe","4"
"65","scmcmurr","2"
"66","rjwoods3","3"
"67","ajpappas","3"
"68","thle","3"
"69","wktaylo2","2"
"70","pdtrinh","3"
"71","tvbarnet","4"
"72","ekducket","3"
"73","bchawkin","3"
"74","msawada","3"
"75","zjgiorda","3"
"76","aeezhila","3"
"77","nasnouwa","3"
"78","hmpierce","3"
"79","cmblank2","4"
"80","mhester3","3"
"81","gsubram5","3"
"82","rtquinn2","3"
"83","rbscott2","3"
"84","abkarche","2"
"85","ctmaynar","3"
"86","ztbrownl","3"
"87","anmodali","1"
"88","nagallo","4"
"89","htyadon","3"
"90","nrsischo","3"
"91","tavanza2","3"
"92","ywang103","3"
"93","ealdama","1"
"94","lmmoland","4"
"95","phgwynne","4"
"96","ljvandep","1"
"97","rcquisto","3"
"98","tlcheek","4"
"99","jmtimper","1"
"100","maskelto","4"
"101","mdsonnen","3"
"102","jhwooste","3"
"103","jtaboad","1"
"104","ajsawyer","3"
"105","sdllewel","4"
"106","pfleimer","1"
"107","bjyounce","1"
"108","ampoe3","1"
"109","mamajett","3"
"110","marora2","1"
"111","klsebast","3"
"112","srritter","3"
"113","ssganni","3"
"114","wjglas","3"
"115","nrconlon","1"
"116","adhayes2","3"
"117","kabartus","4"
"118","kjeanne","3"
"119","cntucke2","4"
"120","nabruins","3"
"121","sfang3","3"
"122","mlmeeks","3"
"123","hmealey","1"
"124","nwelch2","3"
"125","hmnguye3","3"
"126","dfkromer","4"
"127","jwmcadam","3"
"128","jakauffm","3"
"129","cchillen","3"
"130","asgargan","3"
"131","wgtolone","3"
"132","hqbui","4"
"133","jdmalatr","3"
"134","nlrobson","3"
"135","jkayani","3"
"136","cjenriqu","2"
"137","cbwagner","4"
"138","scfausz","3"
"139","mcheiden","4"
"140","jepatzer","3"
"141","kgohel2","3"
"142","dauchman","4"
"143","rbwest","3"
"144","jwschaff","3"
"145","tmsmiley","4"
"146","lhmenden","3"
"147","sjletica","3"
"148","jeclark5","3"
"149","tjdeaton","3"
"150","kjenkin3","3"
"151","jrconrad","3"
"152","ccyu","4"
"153","bjarring","3"
"154","kckwazem","3"
"155","wbotuel","3"
"156","esworthy","3"
"157","hrpoe","3"
"158","gtstewar","4"
"159","cnray2","3"
"160","sabeesle","3"
"161","cgtacker","3"
"162","wdhall3","3"
"163","emalhajj","4"
"164","rfgoodni","3"
"165","msmith7","3"
"166","mbkilroy","3"
"167","cbritt","4"
"168","mbbennis","4"
"169","kbmullea","2"
"170","gitopali","3"
"171","ktvalaku","4"
"172","dalacey","3"
"173","bmmansou","3"
"174","rmwalden","3"
"175","wtshaw","4"
"176","bapowers","4"
"177","hzhang27","1"
"178","jahannaf","3"
"179","wrcoakle","4"
"180","mdsabo","3"
"181","neashley","3"
"182","slmendez","1"
"183","bhtang","4"
"184","spcamass","3"
"185","jdhende5","3"
"186","tjiang8","3"
"187","cclewis","3"
"188","jareinha","3"
"189","jdmccorm","3"
"190","iggatlan","3"
"191","smschnei","4"
"192","psdhillo","3"
"193","pbwilli2","4"
"194","zcfearns","3"
"195","bjespela","4"
"196","rwu5","4"
"197","aglong","3"
