"","student","problem.ward"
"1","kdabraha","1"
"2","dfgebreh","2"
"3","mcamar","3"
"4","bpgoodso","1"
"5","mwprice","1"
"6","ermurph6","3"
"7","rmdimart","1"
"8","tadanie2","1"
"9","rvisador","1"
"10","riestell","1"
"11","calumsd2","4"
"12","rtmarsha","1"
"13","jmcaskey","1"
"14","kepechac","3"
"15","mjgordo3","1"
"16","swmeyer","4"
"17","imfisher","1"
"18","jbcolem2","1"
"19","kjmcgowa","4"
"20","dhendri","3"
"21","jckindle","3"
"22","blaffra","3"
"23","wjbaker2","4"
"24","mlbrow15","3"
"25","drjohns7","3"
"26","jchardi3","4"
"27","amombong","4"
"28","madair","3"
"29","cwong6","1"
"30","stking3","4"
"31","otrinh","3"
"32","mcheste3","3"
"33","jtwall3","3"
"34","rnsmith3","1"
"35","cwscott3","1"
"36","ccolgla","3"
"37","aliman","1"
"38","dmpage","3"
"39","mtrichar","1"
"40","znmarten","1"
"41","psbrown2","3"
"42","cedavi11","1"
"43","jmjarrie","3"
"44","smadapu","3"
"45","jtdreman","3"
"46","miquaint","3"
"47","nlhartze","3"
"48","sxue2","1"
"49","jlsimps4","1"
"50","aatavenn","3"
"51","jgibbs2","3"
"52","dbmclaur","3"
"53","sastump","1"
"54","rtvandyk","1"
"55","jlcason","1"
"56","dabarcen","3"
"57","aepeck","1"
"58","bjforema","4"
"59","asatish","1"
"60","aakkian","1"
"61","cznesbit","1"
"62","pjayaku","3"
"63","smdavis7","3"
"64","machaffe","1"
"65","scmcmurr","1"
"66","rjwoods3","3"
"67","ajpappas","1"
"68","thle","2"
"69","wktaylo2","4"
"70","pdtrinh","1"
"71","tvbarnet","1"
"72","ekducket","2"
"73","bchawkin","3"
"74","msawada","2"
"75","zjgiorda","1"
"76","aeezhila","1"
"77","nasnouwa","2"
"78","hmpierce","3"
"79","cmblank2","4"
"80","mhester3","3"
"81","gsubram5","1"
"82","rtquinn2","2"
"83","rbscott2","3"
"84","abkarche","1"
"85","ctmaynar","1"
"86","ztbrownl","1"
"87","anmodali","1"
"88","nagallo","1"
"89","htyadon","1"
"90","nrsischo","4"
"91","tavanza2","1"
"92","ywang103","1"
"93","ealdama","3"
"94","lmmoland","3"
"95","phgwynne","1"
"96","ljvandep","3"
"97","rcquisto","3"
"98","tlcheek","3"
"99","jmtimper","1"
"100","maskelto","4"
"101","mdsonnen","3"
"102","jhwooste","3"
"103","jtaboad","4"
"104","ajsawyer","3"
"105","sdllewel","3"
"106","pfleimer","3"
"107","bjyounce","1"
"108","ampoe3","4"
"109","mamajett","3"
"110","marora2","4"
"111","klsebast","3"
"112","srritter","3"
"113","ssganni","1"
"114","wjglas","3"
"115","nrconlon","1"
"116","adhayes2","3"
"117","kabartus","1"
"118","kjeanne","3"
"119","cntucke2","3"
"120","nabruins","1"
"121","sfang3","3"
"122","mlmeeks","3"
"123","hmealey","4"
"124","nwelch2","4"
"125","hmnguye3","1"
"126","dfkromer","4"
"127","jwmcadam","3"
"128","jakauffm","1"
"129","cchillen","1"
"130","asgargan","3"
"131","wgtolone","1"
"132","hqbui","1"
"133","jdmalatr","4"
"134","nlrobson","3"
"135","jkayani","3"
"136","cjenriqu","4"
"137","cbwagner","1"
"138","scfausz","3"
"139","mcheiden","3"
"140","jepatzer","3"
"141","kgohel2","4"
"142","dauchman","4"
"143","rbwest","3"
"144","jwschaff","1"
"145","tmsmiley","3"
"146","lhmenden","3"
"147","sjletica","3"
"148","jeclark5","3"
"149","tjdeaton","4"
"150","kjenkin3","3"
"151","jrconrad","3"
"152","ccyu","1"
"153","bjarring","1"
"154","kckwazem","2"
"155","wbotuel","4"
"156","esworthy","3"
"157","hrpoe","3"
"158","gtstewar","4"
"159","cnray2","2"
"160","sabeesle","1"
"161","cgtacker","1"
"162","wdhall3","3"
"163","emalhajj","4"
"164","rfgoodni","3"
"165","msmith7","2"
"166","mbkilroy","3"
"167","cbritt","1"
"168","mbbennis","1"
"169","kbmullea","1"
"170","gitopali","3"
"171","ktvalaku","3"
"172","dalacey","3"
"173","bmmansou","3"
"174","rmwalden","3"
"175","wtshaw","1"
"176","bapowers","1"
"177","hzhang27","1"
"178","jahannaf","3"
"179","wrcoakle","1"
"180","mdsabo","3"
"181","neashley","3"
"182","slmendez","4"
"183","bhtang","3"
"184","spcamass","4"
"185","jdhende5","4"
"186","tjiang8","3"
"187","cclewis","3"
"188","jareinha","2"
"189","jdmccorm","3"
"190","iggatlan","1"
"191","smschnei","1"
"192","psdhillo","3"
"193","pbwilli2","1"
"194","zcfearns","1"
"195","bjespela","1"
"196","rwu5","1"
"197","aglong","3"
