"student","problem","level","last.level","session"
"aakkian",2,2,4,5
"aatavenn",5,1,1,3
"abkarche",2,1,3,5
"adhayes2",4,1,1,4
"aeezhila",5,5,3,2
"aepeck",5,1,4,1
"aglong",4,3,1,4
"ajpappas",5,4,4,5
"ajsawyer",3,3,1,3
"aliman",2,1,2,5
"amombong",3,4,2,5
"ampoe3",2,4,3,2
"anmodali",2,2,3,5
"asatish",5,3,3,4
"asgargan",3,1,3,3
"bapowers",2,1,1,1
"bchawkin",3,5,2,4
"bhtang",3,3,1,3
"bjarring",1,4,3,4
"bjespela",4,1,3,1
"bjforema",2,4,3,5
"bjyounce",4,1,1,1
"blaffra",1,3,1,4
"bmmansou",4,4,3,3
"bpgoodso",1,3,1,3
"calumsd2",4,2,3,2
"cbritt",3,2,3,1
"cbwagner",5,1,3,1
"cchillen",2,4,4,1
"cclewis",3,2,3,3
"ccolgla",4,1,4,4
"ccyu",1,2,1,1
"cedavi11",3,2,3,4
"cgtacker",5,1,1,4
"cjenriqu",3,1,1,1
"cmblank2",2,2,2,5
"cnray2",4,4,2,4
"cntucke2",4,4,3,4
"ctmaynar",5,5,3,4
"cwong6",2,1,3,1
"cwscott3",1,2,3,1
"cznesbit",5,5,3,2
"dabarcen",4,1,1,4
"dalacey",1,1,2,4
"dauchman",2,2,4,5
"dbmclaur",3,3,1,3
"dfgebreh",2,2,2,2
"dfkromer",2,4,3,5
"dhendri",1,4,2,4
"dmpage",5,4,3,4
"drjohns7",4,5,2,4
"ealdama",4,2,2,1
"ekducket",3,3,2,2
"emalhajj",2,4,4,5
"ermurph6",5,4,2,3
"esworthy",3,3,1,4
"gitopali",3,3,2,3
"gsubram5",5,3,2,4
"gtstewar",2,4,2,5
"hmealey",4,1,1,1
"hmnguye3",4,1,1,1
"hmpierce",5,5,3,2
"hqbui",4,1,1,4
"hrpoe",3,4,4,4
"htyadon",5,5,3,4
"hzhang27",4,1,1,1
"iggatlan",5,1,3,4
"imfisher",1,2,2,1
"jahannaf",5,1,4,4
"jakauffm",4,1,2,4
"jareinha",4,4,2,1
"jbcolem2",4,1,1,1
"jchardi3",2,2,2,5
"jckindle",4,1,1,4
"jdhende5",3,1,2,1
"jdmalatr",3,4,2,2
"jdmccorm",2,3,3,2
"jeclark5",4,4,3,4
"jepatzer",1,1,3,4
"jgibbs2",3,3,2,3
"jhwooste",4,3,2,3
"jkayani",1,3,1,3
"jlcason",3,1,1,4
"jlsimps4",5,3,1,4
"jmcaskey",4,1,1,4
"jmjarrie",3,4,3,2
"jmtimper",2,2,1,1
"jrconrad",3,4,2,3
"jtaboad",2,2,4,1
"jtdreman",4,1,1,4
"jtwall3",3,3,2,3
"jwmcadam",1,3,2,4
"jwschaff",2,1,4,1
"kabartus",4,1,1,4
"kbmullea",2,4,5,1
"kckwazem",3,3,2,3
"kdabraha",1,1,1,1
"kepechac",3,4,3,2
"kgohel2",3,4,2,5
"kjeanne",2,1,4,1
"kjenkin3",3,4,3,3
"kjmcgowa",2,5,4,5
"klsebast",4,1,1,3
"ktvalaku",1,1,1,1
"lhmenden",3,4,1,4
"ljvandep",4,1,3,1
"lmmoland",4,3,1,4
"machaffe",5,5,3,4
"madair",3,4,4,5
"mamajett",4,1,1,4
"marora2",2,2,3,5
"maskelto",4,2,3,5
"mbbennis",5,4,4,1
"mbkilroy",3,4,5,3
"mcamar",3,3,2,3
"mcheiden",3,3,2,3
"mcheste3",5,3,2,3
"mdsabo",3,4,2,3
"mdsonnen",1,2,2,3
"mhester3",5,5,3,2
"miquaint",5,4,2,4
"mjgordo3",1,1,1,4
"mlbrow15",1,1,1,4
"mlmeeks",4,1,1,4
"msawada",3,5,3,2
"msmith7",4,3,2,4
"mtrichar",1,5,1,4
"mwprice",4,4,3,4
"nabruins",1,1,2,4
"nagallo",5,1,1,1
"nasnouwa",3,4,2,2
"neashley",3,3,2,3
"nlhartze",2,3,1,3
"nlrobson",1,5,1,3
"nrconlon",4,1,1,1
"nrsischo",3,1,3,5
"nwelch2",2,2,5,5
"otrinh",2,4,3,3
"pbwilli2",3,3,3,3
"pdtrinh",5,5,4,4
"pfleimer",4,1,1,3
"phgwynne",4,1,1,1
"pjayaku",3,5,2,2
"psbrown2",3,4,4,2
"psdhillo",3,1,2,4
"rbscott2",2,5,3,2
"rbwest",3,2,3,3
"rcquisto",4,1,2,4
"rfgoodni",4,1,1,3
"riestell",5,1,3,4
"rjwoods3",5,5,3,2
"rmdimart",2,1,4,5
"rmwalden",3,3,2,4
"rnsmith3",2,1,1,1
"rtmarsha",5,4,3,4
"rtquinn2",3,4,2,2
"rtvandyk",5,3,1,4
"rvisador",2,1,1,5
"rwu5",5,1,3,4
"sabeesle",5,1,2,4
"sastump",5,2,4,1
"scfausz",3,3,3,4
"scmcmurr",3,2,4,3
"sdllewel",4,2,3,1
"sfang3",1,3,1,3
"sjletica",5,3,1,4
"slmendez",2,2,2,1
"smadapu",5,4,3,4
"smdavis7",3,4,3,2
"smschnei",4,1,1,1
"spcamass",2,2,4,5
"srritter",1,4,3,4
"ssganni",1,1,1,4
"stking3",2,2,3,5
"swmeyer",5,3,1,1
"sxue2",4,4,3,4
"tadanie2",4,1,1,1
"tavanza2",2,1,2,4
"thle",3,5,2,2
"tjdeaton",2,4,4,5
"tjiang8",4,1,3,4
"tlcheek",4,1,3,4
"tmsmiley",5,4,2,4
"tvbarnet",5,5,3,4
"wbotuel",2,1,3,4
"wdhall3",3,3,4,3
"wgtolone",1,1,4,4
"wjbaker2",2,1,4,1
"wjglas",4,1,3,1
"wktaylo2",2,2,3,1
"wrcoakle",2,2,3,1
"wtshaw",5,1,3,1
