"student","problem.ward","problem.average","problem.median","problem.complete"
"aakkian",1,1,1,1
"aatavenn",3,1,1,1
"abkarche",1,1,1,1
"adhayes2",3,1,1,1
"aeezhila",1,1,1,1
"aepeck",1,1,1,1
"aglong",3,1,1,1
"ajpappas",1,1,1,1
"ajsawyer",3,1,1,1
"aliman",1,1,1,1
"amombong",4,1,1,1
"ampoe3",4,1,1,1
"anmodali",1,4,1,4
"asatish",1,1,1,1
"asgargan",3,1,1,1
"bapowers",1,1,1,1
"bchawkin",3,1,1,1
"bhtang",3,1,1,1
"bjarring",1,1,1,1
"bjespela",1,1,1,1
"bjforema",4,1,1,1
"bjyounce",1,1,1,1
"blaffra",3,1,1,1
"bmmansou",3,1,1,1
"bpgoodso",1,1,1,1
"calumsd2",4,1,1,3
"cbritt",1,1,1,1
"cbwagner",1,1,1,1
"cchillen",1,1,1,1
"cclewis",3,1,1,1
"ccolgla",3,1,1,1
"ccyu",1,1,1,1
"cedavi11",1,1,1,1
"cgtacker",1,1,1,1
"cjenriqu",4,1,1,1
"cmblank2",4,1,1,4
"cnray2",2,1,1,3
"cntucke2",3,1,1,1
"ctmaynar",1,1,1,1
"cwong6",1,1,1,1
"cwscott3",1,1,1,1
"cznesbit",1,1,1,1
"dabarcen",3,1,1,1
"dalacey",3,1,1,1
"dauchman",4,1,1,4
"dbmclaur",3,1,1,1
"dfgebreh",2,2,2,2
"dfkromer",4,1,1,3
"dhendri",3,1,1,1
"dmpage",3,1,1,1
"drjohns7",3,1,1,1
"ealdama",3,1,1,1
"ekducket",2,1,1,3
"emalhajj",4,1,1,1
"ermurph6",3,1,1,1
"esworthy",3,1,1,1
"gitopali",3,1,1,1
"gsubram5",1,1,1,1
"gtstewar",4,1,1,3
"hmealey",4,1,1,3
"hmnguye3",1,1,1,1
"hmpierce",3,1,1,1
"hqbui",1,1,1,1
"hrpoe",3,1,1,1
"htyadon",1,1,1,1
"hzhang27",1,1,1,1
"iggatlan",1,1,1,1
"imfisher",1,1,1,1
"jahannaf",3,1,1,1
"jakauffm",1,1,1,1
"jareinha",2,1,1,3
"jbcolem2",1,1,1,1
"jchardi3",4,1,1,3
"jckindle",3,1,1,1
"jdhende5",4,1,1,1
"jdmalatr",4,1,3,4
"jdmccorm",3,1,1,3
"jeclark5",3,1,1,1
"jepatzer",3,1,1,1
"jgibbs2",3,1,1,1
"jhwooste",3,1,1,1
"jkayani",3,1,1,1
"jlcason",1,1,1,1
"jlsimps4",1,1,1,1
"jmcaskey",1,1,1,1
"jmjarrie",3,1,1,1
"jmtimper",1,1,1,1
"jrconrad",3,1,1,1
"jtaboad",4,1,1,1
"jtdreman",3,1,1,1
"jtwall3",3,1,1,1
"jwmcadam",3,1,1,1
"jwschaff",1,1,1,1
"kabartus",1,1,1,1
"kbmullea",1,1,1,1
"kckwazem",2,1,1,3
"kdabraha",1,1,1,1
"kepechac",3,1,1,3
"kgohel2",4,1,4,4
"kjeanne",3,1,1,3
"kjenkin3",3,1,1,1
"kjmcgowa",4,1,1,4
"klsebast",3,1,1,1
"ktvalaku",3,1,1,1
"lhmenden",3,1,1,1
"ljvandep",3,1,1,1
"lmmoland",3,1,1,1
"machaffe",1,1,1,1
"madair",3,1,1,1
"mamajett",3,1,1,1
"marora2",4,1,1,3
"maskelto",4,1,1,1
"mbbennis",1,1,1,1
"mbkilroy",3,1,1,1
"mcamar",3,1,1,1
"mcheiden",3,1,1,1
"mcheste3",3,1,1,1
"mdsabo",3,1,1,1
"mdsonnen",3,1,1,1
"mhester3",3,1,1,1
"miquaint",3,1,1,1
"mjgordo3",1,1,1,1
"mlbrow15",3,1,1,1
"mlmeeks",3,1,1,1
"msawada",2,1,1,3
"msmith7",2,1,1,1
"mtrichar",1,1,1,1
"mwprice",1,1,1,1
"nabruins",1,1,1,1
"nagallo",1,1,1,1
"nasnouwa",2,1,1,3
"neashley",3,1,1,1
"nlhartze",3,1,1,1
"nlrobson",3,1,1,1
"nrconlon",1,1,1,1
"nrsischo",4,1,1,1
"nwelch2",4,1,1,3
"otrinh",3,1,1,1
"pbwilli2",1,1,1,1
"pdtrinh",1,1,1,1
"pfleimer",3,1,1,1
"phgwynne",1,1,1,1
"pjayaku",3,1,1,1
"psbrown2",3,1,1,1
"psdhillo",3,1,1,1
"rbscott2",3,1,1,1
"rbwest",3,1,1,1
"rcquisto",3,1,1,1
"rfgoodni",3,1,1,1
"riestell",1,1,1,1
"rjwoods3",3,1,1,1
"rmdimart",1,1,1,1
"rmwalden",3,1,1,1
"rnsmith3",1,1,1,1
"rtmarsha",1,1,1,1
"rtquinn2",2,1,1,3
"rtvandyk",1,1,1,1
"rvisador",1,1,1,1
"rwu5",1,1,1,1
"sabeesle",1,1,1,1
"sastump",1,1,1,1
"scfausz",3,1,1,1
"scmcmurr",1,1,1,1
"sdllewel",3,1,1,1
"sfang3",3,1,1,1
"sjletica",3,1,1,1
"slmendez",4,1,1,3
"smadapu",3,1,1,1
"smdavis7",3,1,1,1
"smschnei",1,1,1,1
"spcamass",4,1,1,3
"srritter",3,1,1,1
"ssganni",1,1,1,1
"stking3",4,1,1,1
"swmeyer",4,1,1,1
"sxue2",1,1,1,1
"tadanie2",1,1,1,1
"tavanza2",1,1,1,1
"thle",2,1,1,3
"tjdeaton",4,1,1,3
"tjiang8",3,1,1,1
"tlcheek",3,1,1,1
"tmsmiley",3,1,1,1
"tvbarnet",1,1,1,1
"wbotuel",4,1,1,1
"wdhall3",3,1,1,1
"wgtolone",1,1,1,1
"wjbaker2",4,1,1,1
"wjglas",3,1,1,1
"wktaylo2",4,3,1,3
"wrcoakle",1,1,1,1
"wtshaw",1,1,1,1
"ywang103",1,1,1,1
"zcfearns",1,1,1,1
"zjgiorda",1,1,1,1
"znmarten",1,1,1,1
"ztbrownl",1,1,1,1
