"student","problem.ward","problem.average","problem.median","problem.complete"
"aakkian",4,1,1,1
"aatavenn",3,1,1,1
"abkarche",4,1,1,4
"adhayes2",3,1,1,1
"aeezhila",4,1,1,1
"aepeck",1,1,1,1
"aglong",3,1,1,1
"ajpappas",4,1,1,1
"ajsawyer",3,1,1,3
"aliman",1,1,1,1
"amombong",1,1,1,1
"ampoe3",1,1,1,1
"anmodali",4,1,1,4
"asatish",1,1,1,1
"asgargan",3,1,1,3
"bapowers",1,1,1,1
"bchawkin",4,1,1,1
"bhtang",3,1,1,3
"bjarring",1,1,1,1
"bjespela",1,1,1,1
"bjforema",3,1,1,1
"bjyounce",1,1,1,1
"blaffra",3,1,1,1
"bmmansou",3,1,1,1
"bpgoodso",1,1,1,1
"calumsd2",2,1,3,3
"cbritt",4,1,1,1
"cbwagner",4,1,1,1
"cchillen",1,1,1,1
"cclewis",3,1,1,3
"ccolgla",1,1,1,1
"ccyu",1,1,1,1
"cedavi11",1,1,1,1
"cgtacker",4,1,1,1
"cjenriqu",3,1,1,3
"cmblank2",3,1,1,3
"cnray2",3,1,1,1
"cntucke2",3,1,1,3
"ctmaynar",4,1,1,1
"cwong6",4,1,1,1
"cwscott3",1,1,1,1
"cznesbit",4,1,1,1
"dabarcen",3,1,1,1
"dalacey",3,1,1,1
"dauchman",4,1,1,3
"dbmclaur",4,1,1,1
"dfgebreh",2,2,2,2
"dfkromer",3,1,1,1
"dhendri",3,1,1,1
"dmpage",1,1,1,1
"drjohns7",3,1,1,1
"ealdama",3,1,1,3
"ekducket",2,4,4,3
"emalhajj",3,1,1,1
"ermurph6",4,1,1,1
"esworthy",4,1,1,1
"gitopali",3,1,1,1
"gsubram5",4,1,1,1
"gtstewar",3,1,1,1
"hmealey",3,1,1,3
"hmnguye3",1,1,1,1
"hmpierce",4,1,1,1
"hqbui",1,1,1,1
"hrpoe",4,1,1,1
"htyadon",4,1,1,1
"hzhang27",1,1,1,1
"iggatlan",1,1,1,1
"imfisher",1,1,1,1
"jahannaf",3,1,1,1
"jakauffm",3,1,1,1
"jareinha",2,1,1,3
"jbcolem2",3,1,1,1
"jchardi3",3,1,1,3
"jckindle",1,1,1,1
"jdhende5",3,1,1,1
"jdmalatr",2,1,1,3
"jdmccorm",3,1,1,3
"jeclark5",4,1,1,1
"jepatzer",1,1,1,1
"jgibbs2",3,1,1,1
"jhwooste",3,1,1,3
"jkayani",3,1,1,1
"jlcason",4,1,1,1
"jlsimps4",1,1,1,1
"jmcaskey",1,1,1,1
"jmjarrie",3,1,1,3
"jmtimper",1,1,1,1
"jrconrad",3,1,1,3
"jtaboad",3,1,1,1
"jtdreman",1,1,1,1
"jtwall3",3,1,1,1
"jwmcadam",1,1,1,1
"jwschaff",1,1,1,1
"kabartus",1,1,1,1
"kbmullea",4,1,1,1
"kckwazem",2,1,1,3
"kdabraha",1,1,1,1
"kepechac",2,1,1,3
"kgohel2",3,1,1,3
"kjeanne",3,1,1,3
"kjenkin3",3,1,1,1
"kjmcgowa",3,1,1,1
"klsebast",3,1,1,1
"ktvalaku",1,1,1,1
"lhmenden",3,1,1,1
"ljvandep",3,1,1,3
"lmmoland",3,1,1,3
"machaffe",4,1,1,1
"madair",3,1,1,1
"mamajett",3,1,1,1
"marora2",3,1,1,3
"maskelto",3,1,1,1
"mbbennis",4,1,1,1
"mbkilroy",3,1,1,1
"mcamar",3,1,1,3
"mcheiden",3,1,1,1
"mcheste3",1,1,1,1
"mdsabo",3,1,1,1
"mdsonnen",3,1,1,3
"mhester3",3,1,1,3
"miquaint",3,1,1,1
"mjgordo3",1,1,1,1
"mlbrow15",3,1,1,1
"mlmeeks",3,1,1,1
"msawada",2,1,1,3
"msmith7",2,1,1,3
"mtrichar",1,1,1,1
"mwprice",1,1,1,1
"nabruins",1,1,1,1
"nagallo",4,1,1,1
"nasnouwa",2,1,1,3
"neashley",3,1,1,1
"nlhartze",3,1,1,1
"nlrobson",1,1,1,1
"nrconlon",1,1,1,1
"nrsischo",4,1,1,1
"nwelch2",3,1,1,1
"otrinh",3,1,1,1
"pbwilli2",3,1,1,1
"pdtrinh",4,1,1,1
"pfleimer",3,1,1,1
"phgwynne",1,1,1,1
"pjayaku",4,1,1,3
"psbrown2",2,1,1,3
"psdhillo",3,1,1,1
"rbscott2",4,1,1,1
"rbwest",3,1,1,3
"rcquisto",3,1,1,1
"rfgoodni",3,1,1,1
"riestell",1,1,1,1
"rjwoods3",4,1,1,1
"rmdimart",4,1,1,1
"rmwalden",2,1,1,3
"rnsmith3",4,1,1,1
"rtmarsha",1,1,1,1
"rtquinn2",2,1,1,3
"rtvandyk",4,1,1,1
"rvisador",1,1,1,1
"rwu5",1,1,1,1
"sabeesle",4,1,1,1
"sastump",4,1,1,1
"scfausz",3,1,1,3
"scmcmurr",4,1,1,4
"sdllewel",3,1,1,1
"sfang3",3,1,1,1
"sjletica",1,1,1,1
"slmendez",3,1,1,3
"smadapu",4,1,1,1
"smdavis7",4,1,1,3
"smschnei",1,1,1,1
"spcamass",4,1,1,1
"srritter",1,1,1,1
"ssganni",1,1,1,1
"stking3",1,1,1,1
"swmeyer",1,1,1,1
"sxue2",3,1,1,1
"tadanie2",1,1,1,1
"tavanza2",4,1,1,1
"thle",2,1,1,3
"tjdeaton",1,1,1,1
"tjiang8",3,1,1,1
"tlcheek",3,1,1,3
"tmsmiley",3,1,1,1
"tvbarnet",4,1,1,1
"wbotuel",1,1,1,1
"wdhall3",3,1,1,1
"wgtolone",1,1,1,1
"wjbaker2",3,1,1,1
"wjglas",3,1,1,1
"wktaylo2",3,3,1,4
"wrcoakle",4,1,1,1
"wtshaw",3,1,1,1
"ywang103",4,1,1,1
"zcfearns",1,1,1,1
"zjgiorda",3,1,1,1
"znmarten",4,1,1,1
"ztbrownl",4,1,1,1
