"student","problem","level"
"aakkian",3,4
"aatavenn",3,1
"abkarche",2,1
"adhayes2",1,3
"aeezhila",3,4
"aepeck",3,3
"aglong",4,2
"ajpappas",2,1
"ajsawyer",2,2
"aliman",1,2
"amombong",2,1
"ampoe3",4,1
"anmodali",3,1
"asatish",3,3
"asgargan",4,3
"bapowers",3,1
"bchawkin",3,4
"bhtang",2,2
"bjarring",1,3
"bjespela",1,3
"bjforema",4,3
"bjyounce",1,1
"blaffra",1,3
"bmmansou",4,2
"bpgoodso",1,3
"calumsd2",2,1
"cbritt",2,1
"cbwagner",3,1
"cchillen",1,3
"cclewis",4,3
"ccolgla",1,1
"ccyu",3,1
"cedavi11",3,3
"cgtacker",3,1
"cjenriqu",2,2
"cmblank2",3,1
"cnray2",2,4
"cntucke2",4,1
"ctmaynar",3,4
"cwong6",2,1
"cwscott3",1,3
"cznesbit",3,4
"dabarcen",2,2
"dalacey",4,1
"dauchman",3,2
"dbmclaur",3,2
"dfgebreh",2,2
"dfkromer",2,1
"dhendri",4,2
"dmpage",1,3
"drjohns7",4,2
"ealdama",4,2
"ekducket",2,4
"emalhajj",4,1
"ermurph6",2,2
"esworthy",3,2
"gitopali",4,2
"gsubram5",3,3
"gtstewar",4,1
"hmealey",2,2
"hmnguye3",4,2
"hmpierce",3,4
"hqbui",1,1
"hrpoe",2,3
"htyadon",3,4
"hzhang27",2,1
"iggatlan",1,3
"imfisher",1,3
"jahannaf",3,3
"jakauffm",4,1
"jareinha",2,1
"jbcolem2",1,3
"jchardi3",2,2
"jckindle",2,1
"jdhende5",2,2
"jdmalatr",4,2
"jdmccorm",4,4
"jeclark5",4,1
"jepatzer",1,3
"jgibbs2",4,2
"jhwooste",4,2
"jkayani",4,2
"jlcason",2,1
"jlsimps4",1,3
"jmcaskey",1,1
"jmjarrie",2,3
"jmtimper",2,1
"jrconrad",4,2
"jtaboad",2,1
"jtdreman",1,3
"jtwall3",2,2
"jwmcadam",4,2
"jwschaff",3,1
"kabartus",1,1
"kbmullea",2,1
"kckwazem",2,2
"kdabraha",1,1
"kepechac",2,2
"kgohel2",3,1
"kjeanne",2,2
"kjenkin3",3,3
"kjmcgowa",3,4
"klsebast",2,2
"ktvalaku",4,2
"lhmenden",1,3
"ljvandep",2,1
"lmmoland",2,2
"machaffe",1,4
"madair",2,1
"mamajett",2,2
"marora2",2,2
"maskelto",4,1
"mbbennis",3,1
"mbkilroy",4,1
"mcamar",2,2
"mcheiden",4,3
"mcheste3",4,2
"mdsabo",4,2
"mdsonnen",2,2
"mhester3",2,4
"miquaint",1,3
"mjgordo3",1,3
"mlbrow15",2,1
"mlmeeks",2,1
"msawada",2,4
"msmith7",2,2
"mtrichar",1,3
"mwprice",1,3
"nabruins",4,3
"nagallo",3,1
"nasnouwa",2,4
"neashley",4,2
"nlhartze",2,3
"nlrobson",4,3
"nrconlon",1,1
"nrsischo",3,1
"nwelch2",3,1
"otrinh",4,3
"pbwilli2",3,3
"pdtrinh",3,3
"pfleimer",2,2
"phgwynne",1,3
"pjayaku",2,4
"psbrown2",2,2
"psdhillo",3,2
"rbscott2",2,4
"rbwest",4,3
"rcquisto",4,1
"rfgoodni",2,2
"riestell",3,1
"rjwoods3",3,3
"rmdimart",3,1
"rmwalden",2,3
"rnsmith3",3,1
"rtmarsha",1,1
"rtquinn2",2,4
"rtvandyk",2,3
"rvisador",3,3
"rwu5",1,3
"sabeesle",3,3
"sastump",1,3
"scfausz",2,2
"scmcmurr",2,2
"sdllewel",4,2
"sfang3",4,2
"sjletica",4,3
"slmendez",2,1
"smadapu",3,1
"smdavis7",3,4
"smschnei",2,1
"spcamass",3,1
"srritter",4,3
"ssganni",1,3
"stking3",2,1
"swmeyer",2,2
"sxue2",1,1
"tadanie2",1,4
"tavanza2",2,1
"thle",4,4
"tjdeaton",3,1
"tjiang8",2,1
"tlcheek",1,3
"tmsmiley",2,2
"tvbarnet",3,4
"wbotuel",3,1
"wdhall3",3,2
"wgtolone",1,3
"wjbaker2",2,1
"wjglas",4,3
"wktaylo2",2,1
"wrcoakle",3,1
"wtshaw",1,3
"ywang103",3,4
"zcfearns",1,3
"zjgiorda",2,4
"znmarten",2,1
"ztbrownl",3,4
