student,course,Interaction,hintCount,TotalTime,TotalPSTime,TotalWETime,avgstepTime,avgstepTimeWE,avgstepTimePS,stepTimeDeviation,UseCount,PrepCount,MorphCount,OptionalCount,InterfaceErrorCount,RightApp,WrongApp,WrongSemanticsApp,WrongSyntaxApp,PrightAppRatio,RrightAppRatio,F1Score,FDActionCount,BDActionCount,DirectProofActionCount,InDirectProofActionCount,actionCount,UseWindowInfo,NonPSelements,AppCount,AppRatio,hintRatio,BlankRatio,HoverHintCount,NextStepClickCountWE,PreviousStepClickCountWE,deletedApp
tliu18,CSC226-001-BARNES-F16,707,8,7934.842,7934.842,0,11.08218156,0,11.08218156,16.69667879,40,26,102,23,123,72,120,101,19,0.126984127,4.8,0.24742268,591,2,326,267,593,5,26,567,0.956155143,0.013490725,0.043844857,25,0,0,38
tliu18,CSC226-001-BARNES-F16,274,1,2186.835,2146.875,39.96,7.83811828,4.44,7.951388889,13.84851036,22,10,31,46,20,39,70,55,15,0.154150198,2.294117647,0.288888889,259,0,259,0,259,0,6,253,0.976833977,0.003861004,0.023166023,0,5,0,15
tliu18,CSC226-001-BARNES-F16,561,11,4493.087,4442.936,50.151,7.924315697,4.559181818,7.990892086,15.26304763,33,33,70,60,93,61,135,116,19,0.134361233,3.05,0.257383966,471,3,432,42,474,0,20,454,0.957805907,0.023206751,0.042194093,1,7,0,19
tliu18,CSC226-001-BARNES-F16,65,0,648.332,626.664,21.668,9.534294118,2.407555556,10.62142373,17.43019669,10,4,0,3,8,15,2,0,2,0.283018868,0.833333333,0.422535211,60,0,60,0,60,0,7,53,0.883333333,0,0.116666667,0,7,0,0
tliu18,CSC226-001-BARNES-F16,188,0,1910.885,1887.862,23.023,9.900958549,3.289,10.1497957,15.23266141,5,7,31,4,20,33,14,10,4,0.196428571,1.833333333,0.35483871,173,0,173,0,173,0,5,168,0.971098266,0,0.028901734,0,5,0,14
tliu18,CSC226-001-BARNES-F16,257,0,1997.996,1988.904,9.092,7.6846,2.273,7.76915625,13.86757101,22,35,24,27,15,21,87,60,27,0.086065574,1.105263158,0.159695817,245,0,245,0,245,0,1,244,0.995918367,0,0.004081633,0,1,0,5
cmwill28,CSC226-001-BARNES-F16,170,0,734.008,734.008,0,4.146937853,0,4.146937853,9.556162748,15,10,1,0,43,15,11,8,3,0.119047619,1,0.212765957,134,0,134,0,134,6,8,126,0.940298507,0,0.059701493,44,0,0,0
cmwill28,CSC226-001-BARNES-F16,66,0,185.27,137.266,48.004,2.685072464,1.846307692,3.192232558,3.760338448,5,5,0,0,27,10,0,0,0,0.27027027,0.666666667,0.384615385,42,0,42,0,42,0,5,37,0.880952381,0,0.119047619,3,5,0,0
cmwill28,CSC226-001-BARNES-F16,112,0,309.745,297.478,12.267,2.647393162,1.2267,2.780168224,3.576639043,7,11,7,0,23,19,6,5,1,0.215909091,0.95,0.351851852,94,0,94,0,94,0,6,88,0.936170213,0,0.063829787,2,6,0,5
cmwill28,CSC226-001-BARNES-F16,99,0,308.374,300.681,7.693,3.02327451,0.854777778,3.233129032,4.973181737,16,5,0,2,13,12,11,7,4,0.146341463,0.666666667,0.24,89,0,89,0,89,0,7,82,0.921348315,0,0.078651685,19,7,0,0
