student,course,currLevel,Interaction,hintCount,TotalTime,TotalPSTime,TotalWETime,avgstepTime,avgstepTimeWE,avgstepTimePS,stepTimeDeviation,UseCount,PrepCount,MorphCount,OptionalCount,InterfaceErrorCount,RightApp,WrongApp,WrongSemanticsApp,WrongSyntaxApp,PrightAppRatio,RrightAppRatio,F1Score,FDActionCount,BDActionCount,DirectProofActionCount,InDirectProofActionCount,actionCount,UseWindowInfo,NonPSelements,AppCount,AppRatio,hintRatio,BlankRatio,HoverHintCount,NextStepClickCountWE,PreviousStepClickCountWE,deletedApp
tliu18,CSC226-001-BARNES-F16,1,515,4,5635.688,5635.688,0,10.87970656,0,10.87970656,17.63640329,26,17,89,8,101,41,100,86,14,0.103797468,10.25,0.205513784,415,2,150,267,417,5,22,395,0.947242206,0.009592326,0.052757794,25,0,0,24
tliu18,CSC226-001-BARNES-F16,1,30,3,338.762,338.762,0,10.92780645,0,10.92780645,17.34599103,3,1,1,2,2,5,2,1,1,0.192307692,1.666666667,0.344827586,29,0,29,0,29,0,3,26,0.896551724,0.103448276,0.103448276,0,0,0,1
tliu18,CSC226-001-BARNES-F16,1,92,1,1310.579,1310.579,0,14.09224731,0,14.09224731,17.25092067,5,5,7,9,10,14,12,11,1,0.170731707,3.5,0.325581395,83,0,83,0,83,0,1,82,0.987951807,0.012048193,0.012048193,0,0,0,4
tliu18,CSC226-001-BARNES-F16,1,70,0,649.803,649.803,0,9.15215493,0,9.15215493,16.88402319,6,3,5,4,7,12,6,3,3,0.1875,3,0.352941176,64,0,64,0,64,0,0,64,1,0,0,0,0,0,9
tliu18,CSC226-001-BARNES-F16,2,41,0,386.787,386.787,0,9.209214286,0,9.209214286,16.64848201,3,2,3,5,3,10,3,2,1,0.256410256,2.5,0.465116279,39,0,39,0,39,0,0,39,1,0,0,0,0,0,0
tliu18,CSC226-001-BARNES-F16,2,51,1,412.743,412.743,0,7.937365385,0,7.937365385,16.32414348,4,3,9,0,4,11,5,5,0,0.234042553,2.75,0.431372549,48,0,48,0,48,0,1,47,0.979166667,0.020833333,0.020833333,0,0,0,0
tliu18,CSC226-001-BARNES-F16,2,9,0,39.96,0,39.96,4.44,4.44,0,16.31825025,0,0,0,0,4,0,0,0,0,0.180839747,0,0.337406384,5,0,5,0,5,0,5,0,0,0,1,0,5,0,0
tliu18,CSC226-001-BARNES-F16,2,172,0,1347.174,1347.174,0,7.787132948,0,7.787132948,16.13903665,15,5,19,41,6,18,62,48,14,0.107784431,3.6,0.209302326,167,0,167,0,167,0,0,167,1,0,0,0,0,0,15
tliu18,CSC226-001-BARNES-F16,3,478,11,3773.771,3773.771,0,7.845677755,0,7.845677755,15.34220986,28,29,66,60,70,52,131,113,18,0.130653266,13,0.258706468,408,3,369,42,411,0,13,398,0.96836983,0.02676399,0.03163017,1,0,0,17
tliu18,CSC226-001-BARNES-F16,3,2,0,15.169,0.004,15.165,5.056333333,7.5825,0.004,15.32771826,0,0,0,0,3,0,0,0,0,0.180839747,0,0.337406384,0,0,0,0,0,0,0,0,0.714590758,0.025626105,0.285409242,0,0,0,0
