"student","problem","level","last.level","session"
"aaltaf",1,4,2,4
"aawatson",1,1,2,3
"acantre",3,4,2,4
"acflint",2,1,1,1
"acluck",1,3,2,4
"adevula",1,4,2,4
"admaycoc",3,3,3,2
"adwall4",2,2,2,4
"aeezhila",2,2,3,2
"afranci",3,3,3,2
"agadler",3,2,2,4
"agdavis5",3,2,2,4
"ahchowdh",2,2,2,4
"ajfelion",2,1,2,3
"ajgoins",2,2,2,2
"ajstrapp",2,2,1,2
"akgarcia",3,2,2,2
"akiyeng2",3,2,2,4
"akothar3",1,3,1,2
"amosolf",2,2,3,2
"amshafe2",1,3,3,4
"amshaikh",3,3,2,3
"anfisher",3,1,2,3
"anpeeple",2,3,2,1
"anshafer",1,4,3,4
"apgering",3,3,3,2
"aphuggin",1,3,2,3
"arrohlof",2,3,1,4
"asuh",3,2,2,4
"athapa",4,1,4,1
"azrowe",2,1,1,1
"bcboyle",3,2,3,2
"bknagy",4,1,1,1
"cbbhesan",1,4,2,4
"ccrainea",3,1,2,3
"cjhall3",2,2,3,2
"cjhetzle",3,2,3,2
"cjparke",2,3,3,2
"cmfitzg2",2,2,1,2
"cmharri5",3,3,3,2
"cmwill28",2,2,2,2
"cndrotor",1,4,2,4
"cnkeesee",2,3,2,2
"crdurand",3,3,2,2
"ctripoll",3,2,2,4
"cwcarrol",3,3,1,2
"dagarwa3",4,1,4,1
"dbadvel",3,3,1,3
"dhochst",1,1,2,3
"djbaucom",1,4,3,4
"djmock",3,3,3,1
"dkarami",3,2,2,4
"dpelliot",2,1,2,2
"dphall3",3,2,3,4
"dpmoody",2,1,3,3
"dskenlin",3,2,2,4
"dsmonaza",3,2,3,4
"eadunlop",3,3,3,2
"ebbode",3,1,3,4
"ejfinle2",2,2,1,2
"gaspillm",2,2,2,2
"gcwatts",3,3,1,4
"gghugh",1,4,2,4
"gjabell",3,1,2,2
"gkprufer",3,3,1,2
"gnswain",3,2,1,4
"grbalsha",1,4,2,4
"hehendr2",2,2,3,2
"hfernan",2,2,3,2
"hhpatel",1,1,2,3
"hmorris3",1,4,2,4
"hrgoldin",3,3,1,2
"hsnelakk",3,3,2,4
"htcollin",1,4,3,4
"jaballan",3,1,1,3
"jamacle2",3,2,3,4
"jbcarpe4",3,3,3,2
"jchackim",2,2,3,4
"jcwall",2,2,3,2
"jethoma8",3,2,2,2
"jfwang2",3,3,2,3
"jgschwab",3,2,2,4
"jhoh",3,4,2,4
"jhpatel4",3,2,3,4
"jipark",3,1,4,4
"jjndon",3,3,2,3
"jjravi",3,1,2,2
"jli29",2,3,1,3
"jmrodri2",3,3,3,3
"jmwhitta",2,1,1,3
"jnparmar",1,4,2,4
"jpferrer",2,2,2,3
"jrbell2",2,3,3,2
"jrodrig6",1,3,2,3
"jrticati",3,3,2,4
"jrtuttl2",2,2,2,4
"jtirene",2,2,2,4
"jtnelso3",1,4,1,4
"jtoverto",3,2,2,4
"jwbober",2,3,1,2
"jwjenni2",2,3,1,2
"kdmidge2",2,1,2,3
"kenewell",1,3,3,4
"kgwrigh2",3,2,2,3
"kli11",2,2,2,2
"kmpatel7",1,4,1,4
"kpowczar",3,2,3,2
"lbgesner",2,1,1,3
"ldremigi",3,2,1,4
"lmphears",2,1,3,1
"lmtavare",2,2,1,3
"ltmcmill",3,2,2,2
"ltran3",2,2,1,1
"ltschroc",2,2,2,2
"lvboyd",2,1,1,3
"masultan",3,1,2,1
"mcphill3",3,2,2,2
"mcwalte2",2,3,3,2
"mdsirio",2,2,2,4
"mhalawa",1,4,2,4
"mjcanzia",2,1,2,3
"mjdivinc",3,3,2,4
"mklemons",2,1,3,2
"mlcarswe",3,3,3,1
"mrdowns",3,4,2,4
"mschlei",1,2,2,4
"msubram3",4,1,4,4
"mtsmith8",3,2,3,2
"ncluther",2,1,2,3
"ncstone3",3,2,2,2
"ndboard",2,3,3,2
"nkhulla",2,1,2,3
"nlwrenn",1,4,2,4
"nnshirse",3,4,2,4
"nrducret",2,1,2,2
"nrsherr2",2,2,3,2
"oaallan",2,3,1,1
"pasoloni",1,2,1,2
"pjlee2",1,4,2,4
"pkamala",2,3,2,3
"pkamin",3,2,2,3
"pmocher",1,2,2,4
"pnholton",3,2,2,4
"psingh8",2,3,3,2
"qliao",2,1,1,1
"qyjones",2,1,3,3
"rabaraho",3,3,2,4
"racavan2",2,2,3,2
"razeitle",1,1,3,1
"rdmarshb",2,2,3,2
"rfseligs",2,2,2,2
"rhowlan",1,4,2,4
"rjalexan",3,2,2,4
"rjwoods4",1,4,1,3
"rkjaouha",2,3,2,2
"rkkrache",2,2,2,2
"rneby",2,1,2,1
"sacynamo",3,1,4,3
"salille2",2,1,2,1
"skcoleba",1,4,3,4
"skuloor",1,3,2,4
"slgerald",3,3,2,1
"smtate2",3,2,3,3
"snhender",3,2,2,4
"sranga",3,2,2,4
"ssbagade",2,2,3,2
"stparham",1,4,2,4
"swang41",3,1,1,3
"tadicke3",2,2,3,4
"tareddin",2,2,2,3
"tjfallon",3,3,1,3
"tjschomb",3,2,2,2
"tliu18",1,1,1,1
"tmarche",2,2,2,4
"tmoore2",2,1,1,1
"tskropie",2,1,2,3
"tsstuelk",2,1,1,2
"vmaktha",3,2,3,2
"wdcosta",2,3,3,1
"wdhaskin",2,1,2,2
"wjbaker2",3,2,2,2
"wjiang7",2,3,1,2
"wjmeyers",1,4,2,4
"wma8",3,3,2,4
"xrao",3,2,2,4
"yzhan101",3,1,2,4
"yzhu24",3,1,1,3
"zyuan3",3,2,2,2
