"student","problem","level","last.level","session"
"aaltaf",1,1,5,4
"aawatson",1,5,3,1
"acantre",5,1,1,4
"acflint",2,2,2,1
"acluck",5,1,2,2
"adevula",1,5,5,4
"admaycoc",3,4,2,2
"adwall4",2,4,2,2
"aeezhila",2,2,2,2
"afranci",3,4,2,4
"agadler",3,4,3,2
"agdavis5",3,1,3,1
"ahchowdh",4,4,3,4
"ajfelion",3,3,2,2
"ajgoins",2,2,2,2
"ajstrapp",2,4,4,2
"akgarcia",3,4,5,2
"akiyeng2",3,4,3,2
"akothar3",4,3,2,2
"amosolf",2,4,2,2
"amshafe2",5,1,2,2
"amshaikh",3,3,2,2
"anfisher",3,1,3,3
"anpeeple",3,4,2,1
"anshafer",5,1,3,2
"apgering",4,3,3,2
"aphuggin",5,3,2,2
"arrohlof",3,4,3,2
"asuh",5,1,1,4
"athapa",2,3,1,5
"azrowe",2,2,2,1
"bcboyle",3,3,2,4
"bknagy",3,3,4,1
"cbbhesan",1,1,1,4
"ccrainea",3,1,3,1
"cjhall3",2,2,2,2
"cjhetzle",4,4,3,2
"cjparke",3,4,2,2
"cmfitzg2",2,4,2,1
"cmharri5",3,1,3,2
"cmwill28",2,2,2,2
"cndrotor",5,5,5,4
"cnkeesee",3,4,1,1
"crdurand",3,4,3,2
"ctripoll",4,1,3,4
"cwcarrol",3,4,4,1
"dagarwa3",2,1,1,5
"dbadvel",5,3,3,2
"dhochst",1,5,3,1
"djbaucom",5,5,1,4
"djmock",3,3,1,1
"dkarami",3,3,2,2
"dpelliot",2,2,3,2
"dphall3",5,4,2,2
"dpmoody",3,3,2,3
"dskenlin",4,4,3,2
"dsmonaza",3,4,2,2
"eadunlop",3,3,2,2
"ebbode",4,1,1,5
"ejfinle2",2,2,2,2
"gaspillm",2,4,2,2
"gcwatts",3,3,3,2
"gghugh",5,1,1,4
"gjabell",4,1,3,2
"gkprufer",3,4,3,3
"gnswain",4,4,3,2
"grbalsha",5,1,1,4
"hehendr2",3,2,2,1
"hfernan",2,2,2,2
"hhpatel",1,5,1,1
"hmorris3",1,1,3,1
"hrgoldin",4,4,3,2
"hsnelakk",3,1,1,4
"htcollin",5,5,3,4
"jaballan",3,1,1,3
"jamacle2",4,4,2,2
"jbcarpe4",3,4,1,2
"jchackim",2,4,2,2
"jcwall",2,2,2,2
"jethoma8",5,4,3,2
"jfwang2",3,3,2,3
"jgschwab",2,4,3,2
"jhoh",5,1,3,4
"jhpatel4",4,3,2,2
"jipark",3,1,5,5
"jjndon",5,3,2,2
"jjravi",3,2,2,2
"jli29",3,4,3,3
"jmrodri2",1,3,3,1
"jmwhitta",3,3,3,3
"jnparmar",5,5,5,4
"jpferrer",2,3,2,1
"jrbell2",2,2,3,2
"jrodrig6",5,5,3,1
"jrticati",5,4,2,2
"jrtuttl2",3,4,3,2
"jtirene",2,4,2,2
"jtnelso3",5,5,5,4
"jtoverto",4,1,3,2
"jwbober",2,4,2,2
"jwjenni2",3,4,3,3
"kdmidge2",3,3,2,4
"kenewell",1,1,3,2
"kgwrigh2",3,1,3,2
"kli11",2,2,2,2
"kmpatel7",5,5,5,4
"kpowczar",3,4,2,2
"lbgesner",3,4,3,3
"ldremigi",5,1,3,4
"lmphears",3,3,2,1
"lmtavare",2,2,2,1
"ltmcmill",2,4,2,2
"ltran3",2,3,2,1
"ltschroc",2,2,2,2
"lvboyd",3,2,4,1
"masultan",3,3,2,3
"mcphill3",4,4,2,2
"mcwalte2",2,4,2,2
"mdsirio",3,4,1,2
"mhalawa",1,1,5,2
"mjcanzia",3,3,2,4
"mjdivinc",3,3,1,4
"mklemons",3,2,2,2
"mlcarswe",3,3,2,1
"mrdowns",5,1,3,2
"mschlei",5,1,1,4
"msubram3",3,5,5,5
"mtsmith8",3,4,2,2
"ncluther",3,3,2,4
"ncstone3",2,4,2,2
"ndboard",3,3,2,1
"nkhulla",3,1,3,3
"nlwrenn",5,5,5,4
"nnshirse",1,1,1,2
"nrducret",2,2,3,2
"nrsherr2",2,4,2,2
"oaallan",3,4,4,1
"pasoloni",4,4,3,2
"pjlee2",5,1,3,4
"pkamala",3,3,2,1
"pkamin",3,3,3,3
"pmocher",5,1,3,4
"pnholton",3,4,1,2
"psingh8",3,4,2,3
"qliao",3,2,2,1
"qyjones",3,2,2,1
"rabaraho",1,3,1,2
"racavan2",3,3,2,2
"razeitle",5,3,2,1
"rdmarshb",2,2,2,2
"rfseligs",2,2,2,2
"rhowlan",1,5,1,4
"rjalexan",4,4,2,2
"rjwoods4",5,5,5,3
"rkjaouha",3,4,3,2
"rkkrache",2,2,2,2
"rneby",3,2,2,1
"sacynamo",3,1,5,2
"salille2",2,2,2,1
"skcoleba",5,5,3,1
"skuloor",5,1,1,4
"slgerald",5,3,1,1
"smtate2",3,4,2,3
"snhender",3,4,3,2
"sranga",2,4,3,2
"ssbagade",3,2,2,2
"stparham",5,1,3,4
"swang41",3,1,1,3
"tadicke3",2,2,2,2
"tareddin",2,3,3,1
"tjfallon",3,4,5,3
"tjschomb",4,4,1,2
"tliu18",1,1,1,1
"tmarche",3,4,3,4
"tmoore2",3,3,1,1
"tskropie",2,2,3,1
"tsstuelk",2,2,2,2
"vmaktha",4,4,2,2
"wdcosta",3,4,2,1
"wdhaskin",2,2,3,2
"wjbaker2",2,4,2,2
"wjiang7",3,4,3,3
"wjmeyers",5,5,3,2
"wma8",1,1,3,2
"xrao",4,4,2,2
"yzhan101",3,1,1,4
"yzhu24",3,1,1,3
"zyuan3",4,4,3,2
