"student","problem","level"
"aaltaf",1,1
"aawatson",1,1
"acantre",1,1
"acflint",2,2
"acluck",1,1
"adevula",1,1
"admaycoc",3,2
"adwall4",2,2
"aeezhila",2,2
"afranci",3,2
"agadler",3,2
"agdavis5",3,1
"ahchowdh",3,2
"ajfelion",3,2
"ajgoins",2,2
"ajstrapp",2,3
"akgarcia",3,2
"akiyeng2",3,2
"akothar3",1,3
"amosolf",2,2
"amshafe2",1,1
"amshaikh",1,3
"anfisher",1,3
"anpeeple",2,2
"anshafer",1,1
"apgering",2,3
"aphuggin",1,1
"arrohlof",3,3
"asuh",1,1
"athapa",2,3
"azrowe",3,2
"bcboyle",3,3
"bknagy",1,1
"cbbhesan",1,1
"ccrainea",3,2
"cjhall3",2,2
"cjhetzle",3,2
"cjparke",2,2
"cmfitzg2",2,3
"cmharri5",3,3
"cmwill28",2,2
"cndrotor",1,1
"cnkeesee",2,3
"crdurand",3,2
"ctripoll",3,2
"cwcarrol",3,3
"dagarwa3",2,2
"dbadvel",1,1
"dhochst",1,1
"djbaucom",1,1
"djmock",1,3
"dkarami",3,2
"dpelliot",2,2
"dphall3",1,1
"dpmoody",3,3
"dskenlin",2,2
"dsmonaza",3,2
"eadunlop",1,1
"ebbode",3,1
"ejfinle2",2,2
"gaspillm",2,2
"gcwatts",1,1
"gghugh",1,1
"gjabell",1,1
"gkprufer",1,3
"gnswain",3,2
"grbalsha",1,1
"hehendr2",3,3
"hfernan",2,2
"hhpatel",1,1
"hmorris3",1,1
"hrgoldin",1,2
"hsnelakk",1,3
"htcollin",1,1
"jaballan",1,1
"jamacle2",3,2
"jbcarpe4",3,2
"jchackim",2,2
"jcwall",2,3
"jethoma8",1,2
"jfwang2",3,3
"jgschwab",2,2
"jhoh",1,1
"jhpatel4",2,2
"jipark",3,2
"jjndon",1,1
"jjravi",3,2
"jli29",2,3
"jmrodri2",1,1
"jmwhitta",3,3
"jnparmar",1,1
"jpferrer",3,2
"jrbell2",2,3
"jrodrig6",1,1
"jrticati",3,1
"jrtuttl2",3,2
"jtirene",3,2
"jtnelso3",1,1
"jtoverto",2,2
"jwbober",2,2
"jwjenni2",1,3
"kdmidge2",2,3
"kenewell",1,1
"kgwrigh2",3,2
"kli11",2,3
"kmpatel7",1,1
"kpowczar",3,2
"lbgesner",2,3
"ldremigi",1,1
"lmphears",2,3
"lmtavare",2,3
"ltmcmill",2,2
"ltran3",2,3
"ltschroc",2,3
"lvboyd",3,3
"masultan",3,3
"mcphill3",3,2
"mcwalte2",2,2
"mdsirio",3,3
"mhalawa",1,1
"mjcanzia",2,3
"mjdivinc",3,3
"mklemons",3,2
"mlcarswe",3,3
"mrdowns",1,1
"mschlei",1,1
"msubram3",3,1
"mtsmith8",3,2
"ncluther",3,2
"ncstone3",2,2
"ndboard",3,3
"nkhulla",2,3
"nlwrenn",1,1
"nnshirse",1,1
"nrducret",2,2
"nrsherr2",3,2
"oaallan",2,3
"pasoloni",1,2
"pjlee2",1,1
"pkamala",2,2
"pkamin",3,3
"pmocher",1,1
"pnholton",3,1
"psingh8",2,3
"qliao",2,3
"qyjones",2,2
"rabaraho",1,1
"racavan2",3,2
"razeitle",1,1
"rdmarshb",2,2
"rfseligs",2,2
"rhowlan",1,1
"rjalexan",2,1
"rjwoods4",1,1
"rkjaouha",3,3
"rkkrache",2,3
"rneby",2,2
"sacynamo",1,1
"salille2",2,2
"skcoleba",1,1
"skuloor",1,1
"slgerald",1,3
"smtate2",3,3
"snhender",3,2
"sranga",3,2
"ssbagade",2,3
"stparham",1,1
"swang41",3,3
"tadicke3",2,2
"tareddin",2,3
"tjfallon",1,3
"tjschomb",1,2
"tliu18",1,1
"tmarche",3,1
"tmoore2",1,3
"tskropie",2,2
"tsstuelk",2,2
"vmaktha",2,2
"wdcosta",3,2
"wdhaskin",2,2
"wjbaker2",2,2
"wjiang7",3,3
"wjmeyers",1,1
"wma8",1,1
"xrao",3,2
"yzhan101",3,3
"yzhu24",3,3
"zyuan3",2,2
