"student","problem","level","last.level","session"
"aaltaf",1,1,1,1
"aawatson",1,1,1,1
"acantre",3,1,1,2
"acflint",2,2,2,2
"acluck",1,1,2,1
"adevula",1,1,1,1
"admaycoc",3,2,2,1
"adwall4",2,2,2,1
"aeezhila",2,2,2,1
"afranci",3,2,2,1
"agadler",3,2,1,1
"agdavis5",3,1,1,1
"ahchowdh",2,2,2,1
"ajfelion",3,2,2,2
"ajgoins",2,2,2,1
"ajstrapp",2,2,2,3
"akgarcia",3,2,1,1
"akiyeng2",3,2,2,1
"akothar3",3,2,2,1
"amosolf",2,2,2,1
"amshafe2",1,1,2,1
"amshaikh",3,1,2,1
"anfisher",3,2,1,1
"anpeeple",2,2,2,3
"anshafer",1,1,1,1
"apgering",3,2,1,1
"aphuggin",1,1,2,1
"arrohlof",3,2,2,1
"asuh",1,1,1,1
"athapa",2,3,3,2
"azrowe",2,2,2,3
"bcboyle",3,2,1,1
"bknagy",3,2,2,3
"cbbhesan",1,1,1,1
"ccrainea",3,2,2,1
"cjhall3",2,2,2,1
"cjhetzle",3,2,1,1
"cjparke",3,2,2,1
"cmfitzg2",2,2,2,3
"cmharri5",3,1,1,1
"cmwill28",2,2,2,1
"cndrotor",1,1,1,2
"cnkeesee",2,2,1,2
"crdurand",3,2,1,1
"ctripoll",3,1,2,1
"cwcarrol",3,2,2,2
"dagarwa3",2,3,3,1
"dbadvel",1,1,2,1
"dhochst",1,1,2,1
"djbaucom",1,1,1,2
"djmock",3,2,1,3
"dkarami",2,1,2,1
"dpelliot",2,2,2,1
"dphall3",3,2,2,1
"dpmoody",3,2,2,1
"dskenlin",3,2,1,1
"dsmonaza",3,2,2,1
"eadunlop",3,2,2,1
"ebbode",3,3,1,1
"ejfinle2",2,2,2,1
"gaspillm",2,2,2,1
"gcwatts",3,1,1,2
"gghugh",1,1,1,2
"gjabell",3,1,2,1
"gkprufer",3,2,1,1
"gnswain",3,2,1,1
"grbalsha",1,1,1,1
"hehendr2",2,2,2,1
"hfernan",2,2,2,1
"hhpatel",1,1,1,2
"hmorris3",1,1,2,1
"hrgoldin",3,2,2,1
"hsnelakk",3,2,1,1
"htcollin",1,1,1,1
"jaballan",3,2,1,1
"jamacle2",3,2,2,1
"jbcarpe4",3,2,1,1
"jchackim",2,2,2,1
"jcwall",2,2,2,1
"jethoma8",3,2,2,3
"jfwang2",3,1,2,2
"jgschwab",2,2,2,1
"jhoh",3,1,1,2
"jhpatel4",3,2,2,1
"jipark",3,3,3,1
"jjndon",3,1,2,1
"jjravi",2,2,2,1
"jli29",3,2,1,1
"jmrodri2",1,1,1,1
"jmwhitta",3,2,1,1
"jnparmar",1,1,1,2
"jpferrer",3,2,2,1
"jrbell2",2,2,2,1
"jrodrig6",1,1,2,2
"jrticati",3,2,2,1
"jrtuttl2",3,2,2,1
"jtirene",2,2,2,2
"jtnelso3",1,1,1,1
"jtoverto",3,2,1,1
"jwbober",2,2,2,1
"jwjenni2",3,2,1,1
"kdmidge2",3,2,1,1
"kenewell",1,1,1,1
"kgwrigh2",3,1,2,1
"kli11",2,2,2,1
"kmpatel7",1,1,1,2
"kpowczar",3,2,2,1
"lbgesner",3,2,1,1
"ldremigi",3,1,1,2
"lmphears",3,2,2,3
"lmtavare",2,2,2,1
"ltmcmill",2,2,2,1
"ltran3",2,2,2,1
"ltschroc",2,2,2,1
"lvboyd",3,2,2,2
"masultan",3,2,2,1
"mcphill3",3,2,2,1
"mcwalte2",2,2,2,1
"mdsirio",3,1,1,2
"mhalawa",1,1,1,1
"mjcanzia",3,2,2,1
"mjdivinc",3,2,1,3
"mklemons",2,2,2,1
"mlcarswe",3,2,2,1
"mrdowns",1,1,1,1
"mschlei",1,1,1,2
"msubram3",2,3,3,1
"mtsmith8",3,2,2,1
"ncluther",2,2,2,1
"ncstone3",2,2,2,1
"ndboard",3,2,2,3
"nkhulla",3,2,2,1
"nlwrenn",1,1,1,2
"nnshirse",1,1,1,1
"nrducret",2,2,2,1
"nrsherr2",3,2,2,1
"oaallan",3,2,2,3
"pasoloni",3,2,1,1
"pjlee2",1,1,1,2
"pkamala",2,2,2,1
"pkamin",3,1,1,1
"pmocher",1,1,1,2
"pnholton",3,2,1,2
"psingh8",3,2,1,1
"qliao",3,2,2,1
"qyjones",3,2,2,1
"rabaraho",1,1,1,1
"racavan2",3,2,2,1
"razeitle",1,1,2,1
"rdmarshb",2,2,2,1
"rfseligs",2,2,2,1
"rhowlan",1,1,1,2
"rjalexan",3,2,2,1
"rjwoods4",1,1,1,3
"rkjaouha",3,2,1,3
"rkkrache",2,2,2,2
"rneby",2,2,2,3
"sacynamo",3,2,3,1
"salille2",2,2,2,1
"skcoleba",1,1,1,1
"skuloor",1,1,1,2
"slgerald",1,1,1,1
"smtate2",3,2,2,2
"snhender",3,2,2,1
"sranga",2,2,2,1
"ssbagade",2,2,2,1
"stparham",1,1,1,2
"swang41",3,1,1,1
"tadicke3",2,2,2,1
"tareddin",2,2,1,1
"tjfallon",3,2,1,3
"tjschomb",3,2,1,1
"tliu18",1,1,1,1
"tmarche",2,1,1,2
"tmoore2",3,2,1,3
"tskropie",2,2,2,1
"tsstuelk",2,2,2,1
"vmaktha",3,2,2,1
"wdcosta",3,2,2,3
"wdhaskin",2,2,2,1
"wjbaker2",2,2,2,1
"wjiang7",3,2,1,1
"wjmeyers",1,1,2,1
"wma8",3,1,1,1
"xrao",3,2,2,1
"yzhan101",3,2,1,2
"yzhu24",3,2,1,2
"zyuan3",2,2,2,1
