"student","problem","level","last.level","session"
"aaltaf",1,1,1,1
"aawatson",3,1,3,3
"acantre",1,1,1,3
"acflint",2,2,2,2
"acluck",1,1,2,1
"adevula",3,1,1,1
"admaycoc",1,2,2,1
"adwall4",3,2,2,1
"aeezhila",2,2,2,1
"afranci",2,2,2,1
"agadler",3,2,3,1
"agdavis5",1,1,3,1
"ahchowdh",3,2,3,1
"ajfelion",2,2,2,3
"ajgoins",2,2,2,1
"ajstrapp",2,3,3,2
"akgarcia",3,2,1,1
"akiyeng2",3,2,3,1
"akothar3",3,3,2,1
"amosolf",2,2,2,1
"amshafe2",1,1,2,1
"amshaikh",1,3,3,1
"anfisher",1,3,3,2
"anpeeple",2,2,3,2
"anshafer",1,1,3,1
"apgering",2,3,2,1
"aphuggin",1,1,2,1
"arrohlof",1,3,3,3
"asuh",1,1,1,1
"athapa",2,3,3,3
"azrowe",2,2,2,3
"bcboyle",2,3,3,1
"bknagy",2,1,3,3
"cbbhesan",1,1,1,1
"ccrainea",1,2,3,1
"cjhall3",2,2,2,1
"cjhetzle",3,2,3,1
"cjparke",2,2,2,1
"cmfitzg2",2,3,3,2
"cmharri5",2,3,3,1
"cmwill28",2,2,2,1
"cndrotor",1,1,1,3
"cnkeesee",2,3,1,2
"crdurand",1,2,3,1
"ctripoll",3,2,3,1
"cwcarrol",2,3,3,3
"dagarwa3",2,2,2,2
"dbadvel",1,1,3,3
"dhochst",3,1,3,1
"djbaucom",1,1,1,3
"djmock",1,3,3,1
"dkarami",2,2,3,3
"dpelliot",2,2,2,2
"dphall3",1,1,2,1
"dpmoody",2,3,2,2
"dskenlin",3,2,3,1
"dsmonaza",3,2,2,1
"eadunlop",3,1,2,1
"ebbode",3,1,3,1
"ejfinle2",2,2,2,1
"gaspillm",2,2,2,1
"gcwatts",1,1,3,3
"gghugh",1,1,1,3
"gjabell",3,1,3,1
"gkprufer",1,3,3,2
"gnswain",3,2,3,1
"grbalsha",1,1,1,1
"hehendr2",2,3,2,1
"hfernan",2,2,2,1
"hhpatel",2,1,3,2
"hmorris3",3,1,3,1
"hrgoldin",3,2,3,1
"hsnelakk",2,3,1,2
"htcollin",1,1,3,1
"jaballan",1,1,1,2
"jamacle2",3,2,2,1
"jbcarpe4",2,2,1,1
"jchackim",3,2,2,1
"jcwall",2,3,2,2
"jethoma8",2,2,3,3
"jfwang2",1,3,2,3
"jgschwab",3,2,2,1
"jhoh",1,1,3,3
"jhpatel4",3,2,2,1
"jipark",3,2,1,1
"jjndon",1,1,2,2
"jjravi",2,2,2,1
"jli29",2,3,3,2
"jmrodri2",1,1,3,1
"jmwhitta",2,3,3,2
"jnparmar",1,1,1,3
"jpferrer",2,2,2,1
"jrbell2",2,3,3,2
"jrodrig6",1,1,3,2
"jrticati",2,1,2,1
"jrtuttl2",3,2,3,1
"jtirene",2,2,2,3
"jtnelso3",1,1,1,1
"jtoverto",3,2,3,1
"jwbober",2,2,2,1
"jwjenni2",1,3,3,2
"kdmidge2",2,3,3,2
"kenewell",1,1,3,1
"kgwrigh2",1,2,3,1
"kli11",2,3,2,2
"kmpatel7",1,1,1,3
"kpowczar",3,2,2,1
"lbgesner",2,3,3,2
"ldremigi",1,1,3,3
"lmphears",2,3,2,2
"lmtavare",2,3,2,2
"ltmcmill",3,2,2,1
"ltran3",2,3,2,2
"ltschroc",2,3,2,2
"lvboyd",2,3,3,2
"masultan",2,3,3,2
"mcphill3",2,2,2,1
"mcwalte2",2,2,2,1
"mdsirio",1,3,1,3
"mhalawa",1,1,1,1
"mjcanzia",2,3,2,2
"mjdivinc",2,3,1,3
"mklemons",2,2,2,1
"mlcarswe",1,3,2,2
"mrdowns",1,1,3,1
"mschlei",1,1,1,3
"msubram3",2,1,1,1
"mtsmith8",3,2,2,1
"ncluther",2,2,2,2
"ncstone3",2,2,3,3
"ndboard",2,3,2,1
"nkhulla",2,3,3,2
"nlwrenn",1,1,1,3
"nnshirse",1,1,3,1
"nrducret",2,2,3,1
"nrsherr2",3,2,2,1
"oaallan",2,3,2,2
"pasoloni",1,2,3,1
"pjlee2",1,1,3,3
"pkamala",2,2,2,1
"pkamin",1,3,3,2
"pmocher",1,1,3,3
"pnholton",1,1,3,3
"psingh8",2,3,3,2
"qliao",2,3,2,2
"qyjones",2,2,2,2
"rabaraho",3,1,1,1
"racavan2",2,2,2,1
"razeitle",1,1,2,1
"rdmarshb",3,2,2,1
"rfseligs",2,2,2,2
"rhowlan",3,1,3,3
"rjalexan",3,1,2,1
"rjwoods4",1,1,1,2
"rkjaouha",2,3,3,2
"rkkrache",2,3,2,2
"rneby",3,2,2,3
"sacynamo",1,1,3,2
"salille2",3,2,2,2
"skcoleba",1,1,3,1
"skuloor",1,1,3,3
"slgerald",1,3,1,1
"smtate2",1,3,2,3
"snhender",1,2,3,1
"sranga",3,2,3,1
"ssbagade",2,3,2,2
"stparham",1,1,3,3
"swang41",2,3,1,2
"tadicke3",2,2,2,1
"tareddin",2,3,3,1
"tjfallon",1,3,1,2
"tjschomb",3,2,1,1
"tliu18",1,1,1,1
"tmarche",2,1,3,3
"tmoore2",2,3,3,2
"tskropie",2,2,2,2
"tsstuelk",2,2,2,1
"vmaktha",3,2,2,1
"wdcosta",2,2,2,2
"wdhaskin",2,2,3,1
"wjbaker2",2,2,2,1
"wjiang7",2,3,3,2
"wjmeyers",1,1,3,1
"wma8",3,1,3,1
"xrao",3,2,2,1
"yzhan101",1,3,1,3
"yzhu24",2,3,3,2
"zyuan3",3,2,2,1
